,Age,Gender,Location,Education,Income,Purchase History,Campaign Participation,label
917,64,Female,"Boston, MA",Bachelor's,35991,3,No,1
918,53,Female,"New York, NY",Bachelor's,64845,5,No,1
919,64,Female,"Boston, MA",Bachelor's,65312,9,No,1
920,39,Female,"Los Angeles, CA",Bachelor's,20561,4,No,1
921,51,Male,"Boston, MA",High School,26901,3,Yes,0
922,64,Male,"Chicago, IL",Master's,72875,7,Yes,1
923,25,Female,"New York, NY",Bachelor's,35917,3,No,0
924,57,Male,"Los Angeles, CA",High School,72120,9,No,0
925,61,Female,"Los Angeles, CA",Master's,11988,1,Yes,1
926,36,Female,"Los Angeles, CA",Master's,24256,2,Yes,1
927,59,Male,"New York, NY",High School,97728,5,No,0
928,58,Female,"Chicago, IL",High School,38230,7,No,1
929,54,Male,"Los Angeles, CA",Bachelor's,69778,7,No,0
930,23,Male,"Boston, MA",Master's,55833,8,No,1
931,43,Male,"Los Angeles, CA",Master's,32625,6,No,1
932,51,Male,"Los Angeles, CA",High School,42088,1,Yes,0
933,62,Female,"Los Angeles, CA",Master's,89650,7,No,1
934,23,Male,"Los Angeles, CA",Bachelor's,51167,6,Yes,1
935,54,Female,"Chicago, IL",Master's,81291,7,Yes,1
936,50,Female,"Boston, MA",High School,75303,2,Yes,1
937,39,Female,"Chicago, IL",High School,86361,6,No,1
938,38,Female,"Boston, MA",Bachelor's,98229,9,Yes,1
939,23,Male,"Los Angeles, CA",Bachelor's,14117,8,Yes,0
940,23,Male,"New York, NY",Master's,70710,2,Yes,1
941,21,Female,"Chicago, IL",Master's,77054,9,Yes,1
942,47,Female,"New York, NY",High School,40949,5,No,1
943,28,Male,"Chicago, IL",Bachelor's,32547,1,No,0
944,47,Female,"Los Angeles, CA",Bachelor's,91882,1,Yes,1
945,48,Male,"Chicago, IL",Bachelor's,78136,4,Yes,0
946,41,Female,"Los Angeles, CA",Master's,74619,4,No,1
947,26,Male,"Chicago, IL",Bachelor's,71842,6,No,0
948,20,Female,"Los Angeles, CA",High School,36990,1,No,0
949,48,Female,"Los Angeles, CA",High School,26193,6,Yes,1
950,57,Male,"Boston, MA",Master's,40109,4,No,1
951,54,Female,"Los Angeles, CA",Master's,29233,5,Yes,1
952,53,Female,"Boston, MA",Bachelor's,91730,7,Yes,1
953,41,Male,"Los Angeles, CA",Master's,44510,9,No,1
954,48,Female,"New York, NY",High School,11306,3,Yes,1
955,23,Male,"Los Angeles, CA",Bachelor's,13849,6,No,0
956,19,Male,"New York, NY",High School,22360,5,Yes,0
957,37,Female,"New York, NY",Bachelor's,55800,9,No,1
958,45,Female,"Los Angeles, CA",Master's,46963,1,Yes,1
959,28,Female,"New York, NY",Bachelor's,64330,7,Yes,1
960,21,Female,"Boston, MA",Bachelor's,61707,9,No,1
961,32,Female,"Chicago, IL",High School,28689,8,No,1
962,23,Female,"Los Angeles, CA",High School,39084,4,No,0
963,47,Female,"New York, NY",Bachelor's,50387,9,No,1
964,55,Male,"Los Angeles, CA",Master's,84816,3,Yes,1
965,19,Female,"Boston, MA",Master's,12642,5,No,0
966,32,Male,"Los Angeles, CA",High School,52137,7,No,0
967,28,Female,"Los Angeles, CA",Master's,89832,2,Yes,1
968,25,Female,"New York, NY",High School,65561,9,No,1
969,43,Male,"Boston, MA",Master's,72260,0,No,1
970,62,Female,"Chicago, IL",Bachelor's,25438,3,Yes,1
971,61,Female,"Chicago, IL",High School,58442,3,No,1
972,22,Male,"New York, NY",High School,12994,0,No,0
973,23,Female,"Los Angeles, CA",Bachelor's,11813,8,No,0
974,43,Female,"New York, NY",High School,94381,2,No,1
975,21,Female,"New York, NY",Master's,65276,4,No,1
976,36,Male,"New York, NY",Master's,51243,5,No,1
977,37,Female,"Los Angeles, CA",High School,72912,7,Yes,1
978,50,Female,"Boston, MA",Master's,70272,5,No,1
979,37,Female,"New York, NY",High School,52051,2,Yes,1
980,29,Female,"Los Angeles, CA",Bachelor's,88854,5,Yes,1
981,64,Male,"Boston, MA",High School,92736,0,Yes,0
982,18,Male,"New York, NY",Bachelor's,75618,3,Yes,0
983,43,Female,"Chicago, IL",Master's,11920,5,No,1
984,31,Female,"Boston, MA",Bachelor's,87219,6,No,1
985,55,Male,"New York, NY",Master's,86872,9,No,1
986,54,Male,"Boston, MA",High School,91132,2,Yes,0
987,28,Female,"Boston, MA",Master's,12093,8,No,0
988,53,Male,"Boston, MA",High School,22905,6,No,0
989,30,Female,"Boston, MA",High School,34351,0,No,1
990,60,Male,"Boston, MA",Bachelor's,40981,1,Yes,0
991,20,Male,"Boston, MA",Bachelor's,83903,0,Yes,0
992,50,Male,"New York, NY",Bachelor's,80821,8,No,0
993,23,Male,"Chicago, IL",Bachelor's,92289,8,Yes,1
994,27,Female,"Los Angeles, CA",Master's,94021,6,Yes,1
995,22,Male,"Boston, MA",Master's,88513,9,No,1
996,40,Male,"Los Angeles, CA",Master's,29874,2,Yes,1
997,27,Female,"New York, NY",High School,60931,4,Yes,1
998,61,Male,"Boston, MA",Master's,17674,3,No,1
999,19,Male,"Chicago, IL",Master's,60516,6,Yes,1
