,Type of Crime,Location,Time of Occurrence,Suspect Age,Suspect Gender,Prior Record,Weapon Used,Officer Response Time,label
937,Assault,Los Angeles,Night,46,Female,False,Knife,4,1
938,Theft,Chicago,Day,48,Male,True,Sword,25,1
939,Burglary,New York City,Night,31,Female,False,Gun,11,1
940,Assault,Los Angeles,Day,48,Male,False,Knife,19,1
941,Theft,Chicago,Night,17,Female,True,Sword,17,1
942,Burglary,New York City,Day,39,Male,True,Gun,59,1
943,Assault,Los Angeles,Night,33,Female,False,Knife,32,1
944,Theft,Chicago,Day,36,Male,True,Sword,12,1
945,Burglary,New York City,Night,30,Female,True,Gun,18,1
946,Assault,Los Angeles,Day,45,Male,True,Knife,59,1
947,Theft,Chicago,Night,20,Female,False,Sword,51,1
948,Burglary,New York City,Day,31,Male,True,Gun,55,1
949,Assault,Los Angeles,Night,19,Female,False,Knife,57,1
950,Theft,Chicago,Day,33,Male,False,Sword,31,1
951,Burglary,New York City,Night,30,Female,True,Gun,57,1
952,Assault,Los Angeles,Day,42,Male,True,Knife,5,1
953,Theft,Chicago,Night,50,Female,True,Sword,7,1
954,Burglary,New York City,Day,33,Male,True,Gun,14,1
955,Assault,Los Angeles,Night,20,Female,False,Knife,48,1
956,Theft,Chicago,Day,25,Male,True,Sword,59,0
957,Burglary,New York City,Night,23,Female,False,Gun,57,1
958,Assault,Los Angeles,Day,23,Male,True,Knife,14,0
959,Theft,Chicago,Night,35,Female,False,Sword,35,1
960,Burglary,New York City,Day,20,Male,False,Gun,37,1
961,Assault,Los Angeles,Night,50,Female,True,Knife,4,1
962,Theft,Chicago,Day,37,Male,False,Sword,45,1
963,Burglary,New York City,Night,24,Female,True,Gun,5,1
964,Assault,Los Angeles,Day,20,Male,True,Knife,55,1
965,Theft,Chicago,Night,48,Female,False,Sword,16,1
966,Burglary,New York City,Day,34,Male,True,Gun,42,1
967,Assault,Los Angeles,Night,37,Female,True,Knife,24,1
968,Theft,Chicago,Day,42,Male,True,Sword,15,1
969,Burglary,New York City,Night,50,Female,False,Gun,11,1
970,Assault,Los Angeles,Day,28,Male,False,Knife,11,0
971,Theft,Chicago,Night,32,Female,True,Sword,46,1
972,Burglary,New York City,Day,42,Male,False,Gun,17,1
973,Assault,Los Angeles,Night,50,Female,True,Knife,23,1
974,Theft,Chicago,Day,33,Male,False,Sword,52,1
975,Burglary,New York City,Night,43,Female,True,Gun,44,1
976,Assault,Los Angeles,Day,38,Male,True,Knife,18,1
977,Theft,Chicago,Night,23,Female,True,Sword,58,0
978,Burglary,New York City,Day,19,Male,False,Gun,38,1
979,Assault,Los Angeles,Night,44,Female,False,Knife,14,1
980,Theft,Chicago,Day,36,Male,True,Sword,8,1
981,Burglary,New York City,Night,42,Female,False,Gun,49,1
982,Assault,Los Angeles,Day,22,Male,True,Knife,19,0
983,Theft,Chicago,Night,35,Female,True,Sword,42,1
984,Burglary,New York City,Day,42,Male,True,Gun,28,1
985,Assault,Los Angeles,Night,41,Female,True,Knife,43,1
986,Theft,Chicago,Day,19,Male,False,Sword,41,1
987,Burglary,New York City,Night,35,Female,True,Gun,43,1
988,Assault,Los Angeles,Day,27,Male,False,Knife,5,0
989,Theft,Chicago,Night,42,Female,True,Sword,59,1
990,Burglary,New York City,Day,40,Male,True,Gun,54,1
991,Assault,Los Angeles,Night,44,Female,True,Knife,3,1
992,Theft,Chicago,Day,27,Male,False,Sword,28,0
993,Burglary,New York City,Night,22,Female,True,Gun,55,1
994,Assault,Los Angeles,Day,29,Male,True,Knife,39,0
995,Theft,Chicago,Night,40,Female,True,Sword,17,1
996,Burglary,New York City,Day,41,Male,True,Gun,34,1
997,Assault,Los Angeles,Night,37,Female,True,Knife,25,1
998,Theft,Chicago,Day,18,Male,False,Sword,27,1
999,Burglary,New York City,Night,33,Female,True,Gun,10,1
