,age,years_in_congress,state,party_affiliation,voted_on_budget,voted_on_healthcare_reform,voted_on_tax_cuts,voted_on_immigration_reform,voted_on_climate_change_bill,voted_on_abortion_rights,voted_on_gun_control,voted_on_welfare_reform,education_level,income_level,number_of_bills_sponsored,number_of_amendments_supported,gender,race,religion,label
665,78,11,NY,Republican,0,0,1,0,1,1,0,1,1,3,5,0,Female,Black,Jewish,0
666,54,14,FL,Democrat,1,1,0,1,0,0,0,0,4,1,4,3,Male,Black,Jewish,1
667,56,4,MI,Democrat,0,1,0,1,1,1,0,0,3,1,12,20,Female,Other,Christian,1
668,25,16,FL,Republican,0,0,1,0,1,1,1,1,2,2,8,19,Female,Other,Other,0
669,69,3,OH,Republican,1,0,0,0,1,1,0,0,1,1,9,17,Female,White,Jewish,0
670,68,25,NC,Republican,1,1,0,1,1,1,1,0,4,2,1,16,Female,Other,Christian,1
671,66,22,WA,Democrat,1,0,0,1,0,1,1,0,3,3,14,19,Male,White,Christian,1
672,27,11,NC,Democrat,0,1,1,0,0,1,1,1,2,2,11,13,Male,White,Other,1
673,71,5,AZ,Republican,1,1,0,0,0,1,0,1,3,2,11,1,Female,Black,Jewish,1
674,54,21,NC,Democrat,1,0,0,0,0,0,1,0,2,1,2,13,Female,Other,Other,0
676,52,12,NY,Republican,1,1,0,1,1,1,1,0,1,2,18,24,Male,Other,Other,1
677,75,13,WA,Republican,0,1,0,0,0,0,1,1,2,2,12,19,Male,Other,Jewish,1
680,37,5,MI,Democrat,1,0,1,1,1,0,1,0,4,3,4,14,Male,Black,Christian,1
681,64,23,WA,Democrat,0,0,0,1,0,1,1,0,1,2,10,6,Female,Other,Christian,1
682,50,19,NC,Democrat,0,1,0,0,1,0,0,1,4,3,16,26,Male,Black,Christian,1
683,64,29,IL,Democrat,0,0,1,0,1,1,0,1,3,1,18,29,Male,Black,Jewish,1
684,54,24,TX,Democrat,1,0,1,1,1,0,0,1,3,2,19,14,Male,Other,Other,1
685,48,5,CA,Republican,1,0,1,0,1,1,0,1,1,2,11,18,Male,Other,Other,0
687,65,28,TX,Republican,0,0,1,1,0,0,0,0,4,1,16,11,Male,Other,Other,1
688,70,3,TX,Democrat,1,1,0,0,0,0,0,1,3,2,18,23,Female,Other,Christian,1
689,29,19,FL,Democrat,0,0,1,0,0,1,1,0,4,2,10,20,Female,Other,Other,1
690,40,19,OH,Democrat,0,0,1,0,1,0,1,1,1,3,1,3,Male,Other,Jewish,0
691,70,11,FL,Democrat,1,0,0,0,1,1,0,0,3,2,5,0,Female,Other,Christian,1
693,79,19,MI,Democrat,0,1,1,1,0,1,0,1,1,1,14,8,Male,Other,Other,1
694,73,20,IL,Republican,0,0,0,0,0,0,0,0,4,1,17,7,Male,Black,Jewish,1
695,40,10,CA,Republican,0,1,1,1,1,0,0,1,1,3,16,13,Male,Black,Jewish,1
696,76,17,AZ,Democrat,0,0,1,1,1,0,1,1,4,2,14,13,Female,Other,Jewish,1
697,73,12,NY,Democrat,0,1,0,0,0,0,0,1,1,1,1,3,Male,Black,Jewish,1
698,72,3,WA,Democrat,0,0,1,0,0,1,0,1,1,3,4,24,Female,White,Christian,0
699,34,26,FL,Republican,1,1,1,1,0,1,0,1,1,1,4,6,Male,Black,Jewish,0
700,42,26,IL,Democrat,0,1,0,0,1,0,1,1,3,3,8,1,Female,White,Other,1
702,41,29,FL,Republican,1,1,1,0,1,1,0,1,2,2,18,6,Female,Black,Other,1
703,65,8,NY,Democrat,1,1,1,1,0,1,0,1,3,3,9,19,Male,Black,Jewish,1
704,78,8,NC,Republican,0,0,1,0,0,1,0,0,2,3,18,28,Male,Other,Christian,0
705,64,25,CA,Democrat,0,1,1,0,0,0,1,0,1,1,18,20,Male,Other,Other,1
706,55,25,OH,Democrat,1,0,1,1,0,1,0,0,3,3,15,16,Male,Other,Jewish,1
707,50,13,WA,Republican,0,1,1,0,0,0,0,0,2,3,11,26,Male,Black,Christian,1
708,50,22,FL,Democrat,1,0,1,1,1,1,0,1,1,1,8,14,Male,White,Jewish,0
710,36,10,OH,Republican,1,1,0,0,0,1,1,0,1,1,16,3,Female,Other,Jewish,1
711,42,15,OH,Republican,1,1,0,0,0,0,1,1,4,1,9,1,Female,White,Jewish,1
712,58,23,TX,Republican,1,1,1,0,1,0,0,0,4,2,17,8,Male,Black,Other,1
713,59,28,NC,Democrat,0,1,0,0,1,1,1,1,2,2,6,27,Female,Black,Jewish,1
714,35,16,CA,Democrat,1,0,0,1,1,1,1,1,3,3,6,11,Male,White,Christian,1
715,77,13,OH,Democrat,0,0,1,1,1,0,0,1,3,1,8,29,Female,Black,Other,0
716,54,11,AZ,Republican,0,1,0,1,0,1,0,0,3,2,15,23,Male,White,Jewish,1
717,69,12,MI,Republican,1,1,0,0,1,0,0,1,3,3,10,18,Female,Other,Christian,1
718,74,14,AZ,Republican,0,1,0,0,1,0,0,0,3,2,8,22,Female,Black,Christian,1
719,35,20,WA,Democrat,1,1,0,1,0,0,0,0,2,2,0,22,Female,Black,Other,1
720,70,3,CA,Republican,1,1,0,1,1,1,0,0,3,2,11,28,Male,Other,Other,1
721,76,15,NY,Republican,1,1,1,0,0,1,1,1,4,3,2,21,Male,White,Other,1
722,28,11,TX,Democrat,1,1,1,0,1,0,1,0,4,2,19,18,Male,Black,Other,1
723,79,3,CA,Republican,0,0,0,1,1,0,0,0,3,3,18,24,Female,Black,Jewish,1
724,60,18,IL,Republican,0,1,1,1,1,0,1,0,1,1,7,24,Male,White,Other,0
725,34,8,IL,Republican,0,1,0,0,1,1,1,0,3,1,6,21,Male,Other,Other,1
726,78,23,WA,Democrat,1,0,0,0,0,0,1,1,2,1,4,2,Male,Black,Christian,0
727,58,8,AZ,Republican,0,0,1,0,1,0,0,0,4,1,4,19,Female,Other,Other,0
728,55,13,MI,Democrat,0,0,0,0,1,0,1,1,4,2,19,4,Male,White,Christian,1
730,74,29,AZ,Republican,1,1,0,1,0,1,1,1,2,1,11,18,Female,Other,Christian,1
731,52,10,WA,Democrat,1,1,1,0,1,0,0,1,1,3,19,8,Female,White,Jewish,1
732,67,15,OH,Republican,0,0,1,0,1,0,1,1,4,2,4,20,Female,Other,Christian,1
733,61,28,NY,Republican,1,1,1,1,0,0,1,0,3,2,6,21,Female,Black,Christian,1
735,56,5,IL,Republican,1,0,0,0,1,1,0,0,3,3,18,15,Male,Other,Christian,1
736,41,1,WA,Democrat,1,1,1,1,0,0,0,1,2,3,1,1,Male,Other,Jewish,0
737,58,8,MI,Democrat,0,1,1,1,0,1,0,1,2,1,11,29,Female,Black,Christian,0
738,59,2,CA,Republican,0,1,0,1,1,0,1,0,4,1,9,27,Female,White,Other,1
740,45,25,NC,Democrat,1,0,0,1,0,0,1,1,4,1,10,17,Male,Other,Jewish,1
741,56,27,TX,Republican,0,0,0,0,1,1,1,0,1,1,17,22,Male,Black,Other,1
742,58,27,TX,Republican,0,1,0,0,0,1,1,1,4,3,11,28,Female,White,Christian,1
743,58,24,AZ,Democrat,1,1,1,0,0,1,0,1,3,2,8,26,Female,Black,Jewish,1
744,32,27,AZ,Democrat,0,1,0,1,0,1,0,0,3,1,6,10,Male,Other,Other,1
745,40,16,NY,Republican,1,1,1,0,1,0,1,0,3,3,6,21,Female,Black,Christian,1
746,59,25,NC,Republican,1,0,1,0,0,1,1,1,3,3,12,22,Male,Black,Other,1
747,47,5,IL,Democrat,1,1,1,1,0,0,0,0,4,3,19,28,Female,Other,Other,1
748,46,19,OH,Republican,0,0,0,0,1,0,1,0,4,2,12,2,Female,Other,Jewish,1
749,55,11,CA,Democrat,0,1,0,1,0,0,1,0,2,3,19,19,Male,White,Jewish,1
750,53,8,FL,Republican,1,1,1,0,0,0,1,1,4,3,4,26,Female,Black,Jewish,1
751,62,4,NC,Republican,0,1,1,1,0,0,1,0,3,2,13,21,Male,White,Christian,1
752,43,14,OH,Republican,1,0,0,0,0,1,1,0,4,3,15,2,Female,Other,Other,1
753,78,17,OH,Republican,1,0,0,0,0,0,1,0,1,1,12,14,Female,Other,Jewish,1
754,69,9,MI,Republican,1,1,0,1,1,1,1,0,1,2,11,11,Female,White,Christian,1
755,60,27,CA,Democrat,1,1,0,0,0,0,0,1,1,2,0,29,Male,White,Christian,1
756,73,4,CA,Democrat,0,0,0,1,0,0,0,1,3,3,7,0,Female,Black,Christian,1
757,33,28,AZ,Republican,1,1,1,0,1,1,1,0,1,1,7,21,Male,White,Other,0
759,25,10,AZ,Republican,1,0,1,0,0,1,0,0,1,3,2,10,Male,Other,Other,0
760,57,19,NC,Democrat,1,0,0,1,0,0,1,1,3,3,7,25,Male,Other,Christian,1
761,41,22,WA,Republican,1,0,0,0,0,1,0,1,2,2,17,1,Male,Black,Other,1
763,37,22,MI,Republican,1,1,1,0,1,1,1,0,4,3,11,22,Male,Other,Christian,1
764,29,28,MI,Democrat,1,1,0,0,0,1,0,0,4,2,14,28,Male,Black,Other,1
765,43,16,AZ,Republican,0,1,0,0,1,1,1,0,3,1,7,20,Male,White,Jewish,1
766,66,28,AZ,Democrat,0,1,1,1,1,0,0,0,3,1,15,13,Female,Black,Jewish,1
767,33,20,AZ,Republican,0,0,1,1,0,1,0,1,3,3,4,0,Male,Other,Jewish,1
768,30,17,NY,Republican,0,0,1,0,1,0,1,0,2,1,4,24,Male,Black,Jewish,0
769,45,2,TX,Democrat,0,1,0,0,0,1,1,0,3,3,8,17,Male,White,Christian,1
770,73,23,MI,Democrat,1,1,0,1,1,0,1,1,1,2,12,17,Female,Black,Christian,1
771,46,19,OH,Democrat,0,1,1,1,0,0,1,0,1,2,14,14,Male,Black,Other,1
772,77,2,CA,Republican,0,1,0,0,1,0,1,1,4,3,7,25,Male,Black,Jewish,1
773,63,16,NC,Democrat,1,0,1,0,1,0,0,1,4,3,11,25,Female,Other,Jewish,1
774,72,16,AZ,Democrat,1,1,1,1,1,1,0,0,1,2,19,3,Male,Black,Christian,1
775,75,28,WA,Democrat,1,1,0,1,1,1,1,0,4,3,8,1,Male,White,Other,1
776,29,22,CA,Democrat,1,0,1,1,0,1,1,0,3,1,14,14,Female,Other,Other,1
777,46,14,OH,Republican,0,1,1,1,0,1,1,1,3,1,14,12,Male,Black,Christian,1
778,74,20,NY,Democrat,0,1,1,1,0,0,0,0,1,1,12,9,Male,Other,Christian,1
780,50,9,IL,Republican,0,1,0,0,0,0,1,0,2,2,4,5,Male,Other,Christian,1
782,29,15,NC,Democrat,0,1,1,1,0,0,0,1,4,3,11,20,Male,White,Christian,1
783,56,25,MI,Republican,1,1,1,1,0,0,0,1,2,2,16,9,Female,Other,Other,1
784,32,11,FL,Republican,0,1,0,0,1,0,1,1,3,2,8,25,Male,Black,Christian,1
785,33,5,NC,Democrat,1,1,0,0,0,0,1,0,2,1,4,2,Female,Black,Christian,1
786,78,8,OH,Republican,1,0,1,0,0,0,1,1,1,2,8,12,Male,Black,Other,0
787,52,22,IL,Democrat,0,0,1,0,1,0,1,0,4,3,4,17,Female,Other,Other,1
788,44,7,CA,Democrat,0,1,1,1,0,0,0,0,3,3,13,5,Female,Other,Jewish,1
789,28,29,WA,Republican,0,1,0,0,0,0,0,1,3,1,6,13,Male,Black,Jewish,1
790,27,6,FL,Democrat,1,0,0,1,1,1,1,0,1,1,8,17,Male,Black,Other,0
791,68,7,WA,Republican,0,1,0,0,0,0,0,0,4,3,11,10,Female,Black,Christian,1
792,65,19,CA,Republican,1,0,0,1,1,1,1,0,1,1,4,19,Male,Other,Other,0
793,66,14,FL,Republican,0,1,0,0,1,1,1,1,2,1,6,14,Male,White,Christian,1
794,35,11,IL,Democrat,0,0,0,0,0,0,1,0,4,3,4,20,Male,White,Christian,1
795,72,19,WA,Democrat,1,1,0,0,0,1,0,1,4,1,19,12,Male,Black,Christian,1
796,53,26,IL,Democrat,0,1,0,0,1,1,1,1,3,3,16,15,Female,Other,Other,1
797,67,14,NY,Democrat,0,1,0,0,0,1,0,0,2,3,10,26,Male,Black,Christian,1
800,70,6,AZ,Republican,0,1,0,0,0,0,0,0,1,3,0,0,Male,White,Christian,1
801,58,1,FL,Democrat,1,0,0,1,1,0,1,1,3,2,0,22,Female,Other,Other,1
802,55,14,WA,Republican,1,1,1,0,1,1,1,1,1,2,13,13,Male,Black,Other,1
803,28,12,OH,Republican,0,0,1,1,1,0,1,1,1,2,8,21,Male,White,Christian,0
805,42,12,AZ,Democrat,1,1,0,0,1,0,1,1,2,3,7,9,Female,White,Jewish,1
806,35,29,TX,Democrat,1,0,0,1,1,1,1,1,2,2,12,25,Female,Other,Other,1
807,51,9,IL,Democrat,1,1,0,1,0,0,0,0,2,3,8,9,Female,Other,Jewish,1
808,43,29,OH,Democrat,1,0,1,1,0,1,0,1,3,1,14,0,Male,White,Jewish,1
809,74,9,IL,Democrat,0,0,1,1,1,1,0,0,3,1,10,17,Male,White,Jewish,0
811,49,20,NC,Republican,1,0,1,1,0,1,0,1,1,1,7,18,Male,Black,Christian,0
813,47,14,IL,Republican,0,0,1,0,1,0,1,1,4,3,16,25,Male,Black,Other,1
814,61,23,IL,Republican,0,1,1,1,1,0,0,1,3,3,3,4,Male,Black,Jewish,1
815,34,29,CA,Democrat,0,1,0,0,0,0,0,0,1,2,9,25,Male,Other,Other,1
816,41,7,NC,Republican,1,0,0,0,0,1,0,0,4,2,1,5,Male,Black,Christian,1
817,76,15,WA,Democrat,1,0,0,0,0,1,0,1,1,3,14,0,Female,Other,Other,1
818,37,22,IL,Democrat,1,0,1,0,1,1,0,1,3,1,19,29,Female,Black,Jewish,1
819,28,8,AZ,Republican,1,1,0,0,0,1,0,0,2,2,17,16,Female,White,Other,1
820,56,19,NY,Democrat,1,1,0,1,1,0,0,1,4,3,13,11,Female,Other,Christian,1
821,52,2,TX,Democrat,0,0,1,1,1,0,1,1,3,1,2,3,Male,Black,Christian,0
822,54,26,OH,Republican,0,0,1,1,0,0,0,0,4,1,0,3,Female,White,Christian,0
823,70,1,IL,Republican,1,0,0,1,0,1,0,1,2,1,2,23,Male,Other,Jewish,0
824,64,28,WA,Republican,1,0,1,0,0,1,1,1,2,2,12,9,Female,Black,Christian,1
825,45,19,NC,Republican,1,1,0,1,1,0,0,0,3,2,7,22,Male,White,Christian,1
826,39,24,TX,Republican,0,0,0,1,0,0,0,0,1,3,16,22,Male,Other,Other,1
827,27,28,CA,Republican,1,1,1,0,1,0,1,1,4,3,15,24,Male,Black,Other,1
828,41,8,FL,Republican,1,1,1,0,0,0,1,0,4,3,15,7,Female,Black,Jewish,1
830,57,28,OH,Democrat,0,0,1,1,0,0,0,1,3,3,18,28,Male,White,Other,1
831,29,18,FL,Republican,0,0,0,0,1,1,1,0,2,2,15,26,Male,Other,Christian,1
832,32,19,OH,Democrat,1,0,1,1,0,1,1,1,2,1,14,26,Male,White,Other,1
833,33,13,AZ,Democrat,1,1,1,1,0,0,1,1,1,1,8,27,Female,White,Other,0
834,50,16,AZ,Democrat,0,1,0,0,1,1,0,1,2,2,15,11,Female,Other,Christian,1
835,26,23,CA,Republican,0,1,0,1,0,1,0,0,3,1,1,27,Male,White,Other,1
837,60,24,AZ,Democrat,0,1,1,1,0,1,1,1,3,1,11,15,Female,Other,Christian,1
838,36,25,IL,Republican,1,0,1,1,1,0,1,1,2,1,17,3,Male,White,Christian,1
839,43,22,AZ,Democrat,0,0,0,1,0,0,0,1,1,3,17,23,Male,Black,Jewish,1
840,51,10,TX,Republican,0,0,1,0,0,1,1,0,1,2,3,29,Female,White,Jewish,0
841,48,19,NC,Democrat,0,1,0,1,0,0,0,1,2,1,1,4,Female,Other,Other,1
843,40,5,NC,Democrat,0,0,0,1,0,0,1,1,4,2,18,14,Female,White,Christian,1
844,26,12,WA,Democrat,1,0,1,0,1,0,0,0,4,3,10,20,Female,Other,Christian,1
845,45,4,OH,Democrat,1,1,0,1,1,1,0,0,2,3,12,23,Female,White,Jewish,1
846,34,25,WA,Republican,0,1,1,0,1,0,0,1,2,3,19,7,Male,Other,Christian,1
847,66,26,FL,Democrat,1,0,0,0,1,0,1,1,1,1,16,28,Female,Black,Christian,1
848,41,28,TX,Republican,0,1,0,1,0,0,1,1,1,1,9,21,Male,Other,Other,1
849,36,16,FL,Republican,1,1,0,0,0,1,1,0,2,1,15,29,Male,Black,Christian,1
851,33,26,NC,Republican,1,0,1,0,0,1,0,0,3,3,15,19,Female,White,Christian,1
852,70,4,NY,Democrat,1,1,1,0,1,0,1,1,4,2,19,9,Male,Black,Other,1
853,74,29,OH,Republican,1,0,1,1,1,0,1,0,1,2,19,0,Female,White,Jewish,1
854,34,16,AZ,Republican,0,1,1,0,1,1,0,1,1,2,15,9,Female,Black,Other,1
855,40,22,AZ,Democrat,0,1,1,0,0,1,0,1,4,1,18,17,Male,White,Christian,1
856,25,11,MI,Democrat,1,1,1,1,0,1,0,1,3,1,12,16,Female,White,Other,1
857,33,6,FL,Republican,1,0,1,0,1,1,1,0,3,1,19,3,Male,Other,Other,0
858,37,28,AZ,Republican,1,0,0,0,1,0,1,1,4,2,10,24,Male,Other,Other,1
859,72,11,NY,Democrat,0,1,1,0,0,0,1,0,2,1,11,26,Female,Other,Jewish,1
860,40,10,MI,Republican,1,0,0,0,0,0,0,1,1,2,16,21,Male,Black,Christian,1
861,58,15,TX,Republican,1,1,1,0,1,0,1,0,2,1,14,12,Male,Other,Other,1
864,37,7,CA,Democrat,0,1,0,0,1,1,0,0,2,3,9,21,Female,White,Other,1
865,32,21,NY,Democrat,0,0,0,0,0,0,0,0,1,1,11,5,Female,Black,Christian,1
866,79,15,WA,Democrat,0,0,1,1,1,1,0,1,1,2,8,0,Female,Other,Jewish,0
868,73,1,NC,Democrat,0,0,1,0,0,1,0,1,4,2,1,2,Male,Other,Christian,1
869,76,8,OH,Democrat,0,1,0,1,1,0,1,1,2,3,12,4,Female,White,Other,1
870,55,5,OH,Republican,0,0,1,1,1,1,1,1,2,3,10,17,Male,Black,Christian,0
872,35,26,MI,Republican,1,0,0,0,0,0,1,0,4,2,7,11,Female,Other,Jewish,1
873,72,6,CA,Republican,1,0,0,0,1,0,1,0,4,2,14,0,Female,Other,Jewish,1
874,31,22,FL,Democrat,1,1,0,0,0,1,0,1,3,1,15,8,Female,White,Other,1
875,78,24,AZ,Republican,0,0,0,1,1,1,1,0,3,2,9,26,Male,White,Jewish,1
876,25,4,NY,Republican,0,0,1,0,1,1,1,1,1,1,1,16,Female,Other,Jewish,0
877,47,15,OH,Democrat,1,1,1,1,0,0,0,0,2,3,14,28,Female,White,Christian,1
880,42,25,AZ,Democrat,0,1,0,1,0,0,0,0,4,3,4,26,Female,Black,Jewish,1
881,52,16,MI,Republican,1,0,0,0,1,0,0,1,2,1,18,10,Male,Black,Other,1
882,38,16,WA,Democrat,0,1,0,1,0,0,0,0,4,1,0,29,Female,Black,Other,1
884,58,21,NY,Democrat,0,1,0,0,0,0,1,1,2,2,9,3,Male,White,Christian,1
885,44,27,MI,Democrat,0,0,0,1,1,0,0,1,4,3,14,8,Female,Black,Other,1
886,78,24,NY,Democrat,1,0,1,1,1,1,1,0,1,2,15,25,Female,White,Other,1
887,48,6,TX,Democrat,0,0,1,0,0,0,1,0,1,2,3,17,Male,White,Other,0
888,52,21,WA,Republican,0,0,0,1,0,1,1,1,4,2,19,25,Male,Other,Christian,1
891,52,9,NC,Democrat,1,0,1,0,0,0,0,0,3,2,2,11,Male,Other,Other,1
892,46,11,NC,Democrat,1,0,1,1,0,0,1,1,2,2,7,17,Female,Black,Other,0
893,54,8,IL,Republican,0,0,0,1,0,0,1,0,3,2,5,17,Male,White,Other,1
894,62,28,AZ,Democrat,1,1,1,0,1,0,0,0,4,1,14,27,Female,Black,Other,1
895,41,13,IL,Democrat,1,1,0,0,0,1,0,1,3,1,5,5,Female,Other,Other,1
896,46,26,FL,Democrat,0,1,0,1,1,0,0,1,4,2,6,26,Male,Other,Jewish,1
898,44,29,NC,Democrat,0,0,1,0,0,0,1,0,3,1,15,25,Male,White,Other,1
899,29,25,MI,Republican,0,1,0,1,0,1,1,0,3,2,12,4,Female,White,Other,1
901,69,25,TX,Republican,0,1,0,1,0,0,1,1,2,2,19,10,Female,White,Christian,1
902,25,1,FL,Democrat,1,0,0,1,1,0,0,1,3,3,1,4,Male,White,Christian,1
903,68,17,IL,Democrat,1,0,1,1,0,1,0,0,4,1,13,8,Female,Other,Other,1
904,33,6,CA,Republican,0,0,1,0,0,0,1,1,2,3,17,22,Female,Black,Jewish,0
905,56,12,OH,Republican,1,1,0,1,0,1,1,1,1,1,17,10,Male,Black,Jewish,1
907,50,21,NY,Democrat,1,0,0,1,0,0,1,0,1,3,14,14,Female,Black,Christian,1
908,69,16,IL,Republican,0,1,0,1,1,1,1,1,1,1,4,24,Female,Other,Jewish,1
909,66,21,OH,Republican,1,0,1,0,0,0,0,1,4,3,1,16,Male,Black,Other,1
911,30,25,IL,Republican,0,1,1,1,0,1,0,1,3,1,19,20,Male,Black,Christian,1
912,77,17,OH,Democrat,1,0,1,1,0,1,0,1,1,1,9,25,Male,Other,Jewish,0
913,78,22,WA,Democrat,1,0,0,0,0,0,1,1,2,1,4,13,Male,Other,Other,0
914,54,18,IL,Republican,1,0,0,0,0,0,1,1,1,1,1,6,Male,Black,Other,0
915,64,18,NC,Democrat,1,0,1,0,0,1,1,0,3,1,11,23,Male,Other,Christian,1
916,47,25,IL,Republican,1,1,1,1,0,0,1,0,3,2,16,22,Female,Black,Jewish,1
917,63,26,OH,Democrat,0,1,0,1,1,1,1,1,3,2,4,15,Female,Other,Jewish,1
918,49,18,TX,Republican,1,0,0,0,0,0,1,1,2,2,17,8,Male,White,Other,1
919,49,25,CA,Democrat,0,0,0,1,0,1,0,0,3,2,15,26,Female,Black,Jewish,1
921,49,28,AZ,Republican,0,0,1,0,0,0,1,0,1,3,3,26,Female,White,Other,0
922,41,8,TX,Republican,1,0,0,1,0,1,0,0,2,1,3,20,Male,Other,Jewish,0
924,51,8,NC,Democrat,0,0,1,0,1,0,0,1,1,3,16,27,Female,White,Jewish,0
925,35,13,NY,Republican,1,0,0,1,0,0,0,1,1,3,19,21,Female,Other,Jewish,1
926,30,12,OH,Democrat,1,0,1,1,0,0,0,0,3,2,9,29,Male,White,Christian,1
928,61,15,WA,Republican,0,0,0,1,1,0,0,1,4,2,17,6,Female,Black,Other,1
929,56,10,AZ,Republican,1,1,0,1,0,1,0,1,3,2,14,27,Female,Other,Jewish,1
930,72,9,IL,Democrat,0,0,0,1,1,0,0,0,3,3,9,6,Female,Black,Other,1
931,48,3,MI,Democrat,1,0,1,1,1,0,0,0,2,1,15,19,Male,Other,Christian,0
933,66,17,CA,Democrat,1,0,1,1,0,1,0,0,1,3,17,7,Male,White,Jewish,1
934,53,15,FL,Republican,1,1,0,1,0,0,1,1,4,2,10,25,Male,White,Christian,1
935,32,24,CA,Democrat,1,1,0,1,0,1,1,1,2,1,7,0,Female,Black,Christian,1
936,61,29,OH,Republican,0,1,1,0,0,0,1,0,3,2,0,11,Male,Other,Other,1
937,34,29,OH,Democrat,1,0,1,1,0,0,0,1,4,1,1,29,Female,White,Christian,0
938,34,10,IL,Democrat,1,1,1,0,1,0,0,1,2,1,16,16,Female,Other,Other,1
939,25,20,IL,Democrat,1,0,1,1,1,0,1,0,1,1,19,24,Male,White,Christian,1
940,69,21,IL,Republican,0,1,0,1,0,0,1,0,3,3,18,28,Male,White,Other,1
941,76,14,AZ,Republican,0,1,0,1,1,0,1,0,2,2,9,25,Male,Black,Christian,1
942,47,27,WA,Democrat,0,1,0,0,0,1,1,0,1,1,7,9,Male,Other,Other,1
943,42,16,NY,Democrat,0,0,1,1,1,1,0,0,3,1,8,27,Male,White,Other,0
945,29,6,TX,Republican,1,1,0,1,0,1,0,0,3,2,19,8,Female,Other,Other,1
946,72,7,IL,Democrat,0,1,1,0,0,1,1,0,1,1,4,9,Male,Other,Jewish,0
948,78,19,NY,Republican,0,0,1,0,1,0,1,0,1,1,10,9,Female,Other,Christian,1
949,55,18,FL,Democrat,0,0,0,0,0,0,0,1,3,1,17,29,Male,Black,Jewish,1
951,66,9,AZ,Republican,1,0,0,1,1,1,1,0,3,2,15,29,Female,White,Christian,1
953,44,9,NC,Democrat,1,0,1,0,0,0,1,0,2,1,9,6,Male,Black,Jewish,0
954,53,26,MI,Republican,1,1,1,0,0,1,1,0,1,2,17,4,Male,White,Jewish,1
955,72,4,CA,Democrat,1,1,0,0,0,1,1,0,3,3,0,27,Female,Other,Jewish,1
956,57,11,NY,Democrat,1,1,0,0,1,0,1,1,4,2,5,27,Male,White,Jewish,1
957,63,17,NC,Republican,0,1,1,1,0,1,0,0,2,1,0,19,Female,White,Other,0
958,56,3,IL,Democrat,1,0,0,1,1,1,1,0,4,3,2,26,Female,Black,Other,1
959,49,26,IL,Republican,1,1,0,1,1,0,1,1,3,1,12,11,Male,White,Christian,1
960,68,15,AZ,Republican,1,0,1,1,1,0,0,1,2,3,11,4,Male,Other,Christian,1
961,51,2,FL,Democrat,0,1,0,0,0,0,0,0,3,3,13,29,Male,White,Other,1
962,47,16,OH,Democrat,0,1,0,1,0,1,0,1,4,1,16,0,Female,White,Other,1
964,26,18,NC,Republican,0,1,0,0,1,1,1,0,3,2,12,6,Female,White,Jewish,1
965,74,28,TX,Democrat,1,1,0,0,1,1,1,1,3,2,3,26,Male,Other,Christian,1
966,28,10,NC,Republican,0,1,0,1,1,0,0,1,2,1,14,11,Male,Other,Christian,1
968,69,11,MI,Democrat,0,0,0,1,1,1,1,0,4,2,16,29,Male,White,Other,1
969,47,10,MI,Republican,0,1,0,1,1,0,1,1,1,1,10,27,Female,Other,Christian,1
970,65,1,AZ,Democrat,1,1,0,0,1,1,1,1,4,3,19,8,Male,White,Other,1
971,60,16,CA,Democrat,1,1,0,1,0,0,0,1,3,2,6,4,Female,Black,Other,1
972,65,5,NY,Republican,1,1,0,0,0,0,0,1,4,2,6,4,Female,Black,Christian,1
973,47,9,CA,Democrat,0,1,0,1,1,1,0,1,3,3,3,13,Male,Black,Other,1
977,57,27,CA,Republican,0,0,0,0,1,1,1,1,3,3,3,7,Male,White,Christian,1
978,53,2,TX,Republican,1,0,1,0,1,0,0,0,3,3,16,28,Male,Other,Christian,1
979,72,5,NY,Democrat,0,0,1,0,0,0,1,0,3,2,17,24,Male,White,Jewish,1
980,39,2,IL,Republican,0,1,0,1,0,0,1,1,4,2,14,2,Male,Other,Jewish,1
981,39,13,AZ,Republican,0,1,1,0,0,1,1,0,4,2,4,27,Female,Black,Jewish,1
982,61,5,WA,Republican,1,1,0,1,0,1,0,0,1,1,14,13,Female,Other,Christian,1
983,43,1,MI,Democrat,0,0,0,0,1,1,1,1,1,2,3,10,Male,Other,Jewish,0
985,75,29,TX,Democrat,0,1,1,0,0,0,1,1,2,2,11,7,Female,White,Jewish,1
986,45,15,AZ,Republican,0,1,0,1,0,1,1,1,1,3,17,21,Female,Black,Other,1
987,59,19,OH,Republican,0,1,1,0,0,1,1,1,4,3,18,11,Male,White,Christian,1
988,50,14,NY,Republican,0,1,1,1,0,0,0,0,2,1,17,10,Female,White,Jewish,1
989,78,12,WA,Democrat,0,0,1,1,1,1,0,1,1,1,0,8,Male,White,Jewish,0
990,52,2,IL,Democrat,1,0,1,0,1,1,0,1,4,2,3,25,Male,White,Christian,1
991,46,27,OH,Republican,0,0,1,0,1,0,1,1,1,2,14,3,Female,White,Other,1
993,77,1,OH,Republican,0,1,1,0,0,1,0,1,2,1,1,6,Female,Black,Christian,0
994,40,3,AZ,Democrat,1,0,0,1,0,1,1,1,3,3,1,16,Female,Black,Jewish,1
995,36,11,IL,Democrat,1,1,0,0,1,1,0,0,1,3,1,15,Female,Black,Other,1
996,52,17,FL,Democrat,0,1,0,1,0,1,1,1,1,1,10,18,Male,Black,Christian,1
