,Gender,Age,Employment status,Company size,Annual income,Education level,Years of experience,Mental health support received from employer,label
657,Prefer not to say,65 and above,Retired,51-200 employees,95000,Bachelor's degree,18,Yes,1
658,Prefer not to say,35-44,Full-time,201-1000 employees,100000,High school diploma,24,Not applicable,1
659,Prefer not to say,18-24,Retired,Less than 50 employees,145000,Master's degree,10,No,1
660,Male,45-54,Part-time,1001-5000 employees,90000,High school diploma,14,No,1
661,Male,65 and above,Full-time,5001-10000 employees,65000,Bachelor's degree,4,Yes,1
662,Prefer not to say,35-44,Self-employed,Less than 50 employees,60000,Master's degree,8,No,1
663,Male,18-24,Part-time,Less than 50 employees,90000,Associate degree,22,Not applicable,1
664,Female,18-24,Self-employed,1001-5000 employees,170000,Master's degree,14,Not applicable,1
665,Non-binary,55-64,Retired,5001-10000 employees,100000,Associate degree,2,Not applicable,1
666,Non-binary,65 and above,Self-employed,1001-5000 employees,165000,High school diploma,4,No,1
667,Non-binary,35-44,Full-time,1001-5000 employees,125000,Associate degree,24,No,1
668,Male,25-34,Full-time,51-200 employees,65000,Master's degree,12,No,1
669,Prefer not to say,55-64,Full-time,201-1000 employees,165000,Bachelor's degree,10,No,1
670,Male,65 and above,Full-time,201-1000 employees,50000,Bachelor's degree,22,No,1
671,Non-binary,18-24,Self-employed,201-1000 employees,80000,Associate degree,4,No,1
672,Female,25-34,Part-time,5001-10000 employees,135000,High school diploma,24,Yes,1
673,Female,65 and above,Part-time,201-1000 employees,60000,Bachelor's degree,16,No,1
674,Male,55-64,Retired,10001+ employees,90000,Bachelor's degree,20,Yes,1
675,Male,55-64,Part-time,51-200 employees,105000,Bachelor's degree,8,Yes,1
676,Male,45-54,Full-time,201-1000 employees,130000,High school diploma,4,Yes,1
677,Prefer not to say,18-24,Part-time,Less than 50 employees,45000,Doctoral degree,8,Yes,0
678,Female,35-44,Part-time,201-1000 employees,95000,Associate degree,26,Yes,1
679,Non-binary,65 and above,Part-time,201-1000 employees,35000,Doctoral degree,22,No,1
680,Female,55-64,Self-employed,5001-10000 employees,165000,High school diploma,28,No,1
681,Non-binary,45-54,Retired,1001-5000 employees,30000,Associate degree,8,Yes,1
682,Male,45-54,Full-time,10001+ employees,115000,Doctoral degree,18,Not applicable,0
683,Non-binary,18-24,Self-employed,1001-5000 employees,105000,Doctoral degree,26,Yes,1
684,Male,25-34,Full-time,5001-10000 employees,120000,High school diploma,4,Yes,1
685,Prefer not to say,45-54,Part-time,5001-10000 employees,115000,Master's degree,22,No,1
686,Female,18-24,Full-time,51-200 employees,55000,Associate degree,14,Yes,1
687,Non-binary,18-24,Full-time,201-1000 employees,135000,Doctoral degree,20,Not applicable,1
688,Prefer not to say,45-54,Part-time,51-200 employees,185000,Associate degree,22,Not applicable,1
689,Prefer not to say,55-64,Retired,51-200 employees,110000,Master's degree,6,Yes,1
690,Male,35-44,Part-time,5001-10000 employees,95000,Master's degree,4,Yes,1
691,Prefer not to say,35-44,Self-employed,1001-5000 employees,155000,High school diploma,18,Not applicable,1
692,Prefer not to say,25-34,Full-time,51-200 employees,100000,Doctoral degree,24,No,0
693,Female,45-54,Part-time,Less than 50 employees,55000,Bachelor's degree,12,Yes,1
694,Non-binary,25-34,Full-time,1001-5000 employees,150000,Bachelor's degree,10,No,1
695,Prefer not to say,25-34,Self-employed,1001-5000 employees,40000,Master's degree,14,No,1
696,Female,65 and above,Self-employed,1001-5000 employees,30000,Doctoral degree,26,Yes,1
697,Non-binary,25-34,Full-time,51-200 employees,85000,Bachelor's degree,16,Not applicable,1
698,Female,65 and above,Part-time,10001+ employees,40000,Associate degree,14,No,1
699,Male,25-34,Full-time,Less than 50 employees,55000,Doctoral degree,28,Not applicable,0
700,Male,25-34,Self-employed,201-1000 employees,120000,Associate degree,12,Not applicable,1
701,Male,35-44,Retired,5001-10000 employees,50000,Bachelor's degree,26,No,1
702,Non-binary,45-54,Full-time,10001+ employees,85000,High school diploma,26,Not applicable,1
703,Non-binary,18-24,Part-time,201-1000 employees,105000,Doctoral degree,26,No,1
704,Non-binary,25-34,Full-time,1001-5000 employees,85000,Bachelor's degree,4,Not applicable,1
705,Non-binary,35-44,Full-time,5001-10000 employees,145000,Bachelor's degree,24,Not applicable,1
706,Prefer not to say,25-34,Full-time,Less than 50 employees,40000,High school diploma,10,Not applicable,1
707,Female,35-44,Full-time,10001+ employees,170000,Master's degree,20,Yes,1
708,Prefer not to say,55-64,Self-employed,51-200 employees,180000,High school diploma,28,No,1
709,Male,45-54,Retired,Less than 50 employees,170000,Doctoral degree,14,Yes,0
710,Female,35-44,Full-time,5001-10000 employees,140000,Associate degree,10,No,1
711,Prefer not to say,35-44,Part-time,5001-10000 employees,180000,Associate degree,22,Not applicable,1
712,Prefer not to say,65 and above,Retired,201-1000 employees,115000,Associate degree,14,Yes,1
713,Prefer not to say,55-64,Self-employed,1001-5000 employees,30000,Doctoral degree,4,Yes,0
714,Female,18-24,Retired,10001+ employees,30000,Master's degree,16,No,1
715,Female,55-64,Retired,5001-10000 employees,70000,Bachelor's degree,18,Not applicable,1
716,Non-binary,55-64,Part-time,1001-5000 employees,80000,Associate degree,12,Not applicable,1
717,Male,65 and above,Part-time,10001+ employees,85000,Master's degree,6,Yes,1
718,Female,45-54,Self-employed,1001-5000 employees,175000,High school diploma,6,No,1
719,Male,25-34,Retired,Less than 50 employees,45000,Bachelor's degree,8,No,1
720,Non-binary,55-64,Retired,51-200 employees,195000,Master's degree,14,Not applicable,1
721,Prefer not to say,65 and above,Part-time,51-200 employees,105000,Associate degree,26,No,1
722,Non-binary,18-24,Retired,1001-5000 employees,105000,Master's degree,20,Yes,1
723,Prefer not to say,25-34,Self-employed,10001+ employees,110000,High school diploma,10,Yes,1
724,Male,55-64,Part-time,201-1000 employees,60000,Associate degree,22,Not applicable,1
725,Female,55-64,Self-employed,10001+ employees,105000,Associate degree,26,Not applicable,1
726,Female,25-34,Retired,51-200 employees,80000,High school diploma,20,Not applicable,1
727,Male,18-24,Self-employed,10001+ employees,95000,Master's degree,28,No,1
728,Prefer not to say,25-34,Self-employed,Less than 50 employees,185000,Associate degree,14,Yes,1
729,Non-binary,65 and above,Full-time,201-1000 employees,55000,Doctoral degree,10,No,1
730,Prefer not to say,65 and above,Part-time,10001+ employees,75000,High school diploma,22,No,1
731,Prefer not to say,55-64,Full-time,1001-5000 employees,100000,Master's degree,2,No,1
732,Female,25-34,Full-time,10001+ employees,45000,Doctoral degree,24,No,1
733,Prefer not to say,65 and above,Part-time,5001-10000 employees,75000,High school diploma,4,Not applicable,1
734,Male,35-44,Full-time,5001-10000 employees,65000,High school diploma,26,Yes,1
735,Prefer not to say,18-24,Self-employed,5001-10000 employees,90000,Bachelor's degree,24,Yes,1
736,Male,18-24,Retired,1001-5000 employees,135000,Bachelor's degree,4,No,1
737,Female,65 and above,Self-employed,5001-10000 employees,195000,Bachelor's degree,20,Not applicable,1
738,Non-binary,55-64,Retired,Less than 50 employees,55000,Bachelor's degree,24,Yes,1
739,Female,55-64,Full-time,Less than 50 employees,75000,Associate degree,28,Yes,1
740,Male,55-64,Retired,5001-10000 employees,135000,Associate degree,4,No,1
741,Female,45-54,Self-employed,51-200 employees,165000,Master's degree,10,Not applicable,1
742,Prefer not to say,18-24,Self-employed,10001+ employees,30000,Bachelor's degree,2,Yes,1
743,Non-binary,55-64,Retired,5001-10000 employees,175000,Associate degree,20,No,1
744,Non-binary,18-24,Part-time,201-1000 employees,160000,Bachelor's degree,8,Yes,1
745,Non-binary,65 and above,Retired,5001-10000 employees,190000,High school diploma,14,Yes,1
746,Prefer not to say,65 and above,Self-employed,10001+ employees,165000,High school diploma,26,Not applicable,1
747,Female,18-24,Part-time,1001-5000 employees,65000,Master's degree,14,Yes,1
748,Non-binary,18-24,Full-time,10001+ employees,45000,Doctoral degree,8,Yes,1
749,Male,18-24,Part-time,201-1000 employees,35000,Associate degree,28,Not applicable,1
750,Prefer not to say,45-54,Full-time,51-200 employees,150000,High school diploma,2,No,1
751,Female,65 and above,Part-time,5001-10000 employees,85000,High school diploma,20,No,1
752,Female,55-64,Retired,201-1000 employees,95000,Doctoral degree,16,No,1
753,Non-binary,35-44,Full-time,Less than 50 employees,150000,Bachelor's degree,28,Not applicable,1
754,Male,55-64,Retired,1001-5000 employees,125000,Bachelor's degree,4,No,1
755,Prefer not to say,45-54,Retired,5001-10000 employees,185000,High school diploma,18,No,1
756,Non-binary,45-54,Part-time,1001-5000 employees,75000,Master's degree,28,Yes,1
757,Prefer not to say,65 and above,Self-employed,201-1000 employees,90000,Associate degree,20,Not applicable,1
758,Prefer not to say,35-44,Part-time,1001-5000 employees,95000,Bachelor's degree,4,No,1
759,Female,18-24,Retired,Less than 50 employees,120000,Doctoral degree,4,Yes,1
760,Non-binary,55-64,Retired,10001+ employees,130000,High school diploma,8,Yes,1
761,Non-binary,35-44,Part-time,10001+ employees,65000,High school diploma,26,Yes,1
762,Male,65 and above,Part-time,5001-10000 employees,100000,Doctoral degree,16,Not applicable,0
763,Female,25-34,Retired,10001+ employees,60000,Bachelor's degree,2,Yes,1
764,Female,18-24,Full-time,5001-10000 employees,150000,Associate degree,8,Yes,1
765,Prefer not to say,18-24,Self-employed,201-1000 employees,95000,Associate degree,28,No,1
766,Female,65 and above,Retired,1001-5000 employees,55000,Bachelor's degree,24,Yes,1
767,Female,55-64,Retired,51-200 employees,85000,Associate degree,20,Yes,1
768,Prefer not to say,35-44,Self-employed,1001-5000 employees,110000,Doctoral degree,14,No,0
769,Male,35-44,Full-time,10001+ employees,185000,Associate degree,28,Yes,1
770,Prefer not to say,55-64,Part-time,1001-5000 employees,80000,Associate degree,22,Yes,1
771,Non-binary,25-34,Self-employed,1001-5000 employees,35000,High school diploma,12,Not applicable,1
772,Prefer not to say,18-24,Full-time,51-200 employees,65000,Bachelor's degree,20,Not applicable,1
773,Male,18-24,Full-time,Less than 50 employees,110000,Associate degree,2,Yes,1
774,Non-binary,35-44,Self-employed,Less than 50 employees,95000,Doctoral degree,20,Yes,1
775,Non-binary,45-54,Part-time,Less than 50 employees,125000,Associate degree,22,Yes,1
776,Male,35-44,Part-time,5001-10000 employees,80000,Master's degree,2,Yes,1
777,Prefer not to say,18-24,Self-employed,Less than 50 employees,195000,High school diploma,20,No,1
778,Female,45-54,Part-time,201-1000 employees,150000,Doctoral degree,12,No,1
779,Male,55-64,Part-time,5001-10000 employees,40000,Bachelor's degree,26,No,1
780,Male,25-34,Retired,Less than 50 employees,180000,High school diploma,22,Not applicable,1
781,Male,18-24,Self-employed,10001+ employees,30000,Master's degree,8,Not applicable,1
782,Prefer not to say,25-34,Retired,1001-5000 employees,190000,Doctoral degree,16,Not applicable,0
783,Prefer not to say,45-54,Self-employed,51-200 employees,35000,Bachelor's degree,14,Yes,1
784,Female,35-44,Retired,1001-5000 employees,100000,Bachelor's degree,8,Yes,1
785,Male,55-64,Retired,201-1000 employees,75000,Associate degree,8,Yes,1
786,Prefer not to say,18-24,Retired,Less than 50 employees,60000,Doctoral degree,24,Not applicable,0
787,Prefer not to say,45-54,Retired,201-1000 employees,50000,High school diploma,6,Yes,1
788,Prefer not to say,45-54,Self-employed,Less than 50 employees,100000,Master's degree,10,Yes,1
789,Prefer not to say,55-64,Self-employed,201-1000 employees,70000,Doctoral degree,18,Yes,0
790,Prefer not to say,65 and above,Retired,Less than 50 employees,60000,Master's degree,2,Yes,1
791,Prefer not to say,18-24,Self-employed,51-200 employees,85000,Doctoral degree,20,Not applicable,0
792,Non-binary,18-24,Retired,201-1000 employees,150000,Associate degree,22,Not applicable,1
793,Male,25-34,Retired,51-200 employees,90000,Associate degree,10,No,1
794,Non-binary,18-24,Full-time,Less than 50 employees,45000,Master's degree,26,Yes,1
795,Male,45-54,Self-employed,51-200 employees,45000,High school diploma,2,Not applicable,1
796,Female,45-54,Full-time,5001-10000 employees,110000,High school diploma,14,No,1
797,Non-binary,35-44,Full-time,5001-10000 employees,95000,Bachelor's degree,22,Not applicable,1
798,Female,18-24,Part-time,201-1000 employees,170000,Associate degree,26,Yes,1
799,Female,35-44,Part-time,1001-5000 employees,125000,High school diploma,12,Yes,1
800,Male,35-44,Full-time,10001+ employees,175000,Doctoral degree,10,Not applicable,0
801,Prefer not to say,25-34,Full-time,201-1000 employees,155000,Associate degree,18,No,1
802,Female,18-24,Self-employed,Less than 50 employees,160000,Associate degree,4,No,1
803,Non-binary,18-24,Part-time,10001+ employees,110000,High school diploma,26,Not applicable,1
804,Non-binary,35-44,Retired,Less than 50 employees,75000,High school diploma,8,Not applicable,1
805,Non-binary,25-34,Full-time,Less than 50 employees,110000,Associate degree,16,Yes,1
806,Female,25-34,Self-employed,5001-10000 employees,80000,Doctoral degree,14,No,1
807,Female,45-54,Self-employed,Less than 50 employees,85000,Doctoral degree,2,Yes,1
808,Prefer not to say,55-64,Retired,201-1000 employees,125000,Bachelor's degree,2,Yes,1
809,Non-binary,18-24,Retired,1001-5000 employees,160000,Associate degree,18,Yes,1
810,Female,55-64,Retired,51-200 employees,135000,Doctoral degree,22,Yes,1
811,Prefer not to say,65 and above,Part-time,51-200 employees,35000,Associate degree,14,Yes,1
812,Female,25-34,Self-employed,1001-5000 employees,120000,Bachelor's degree,8,Yes,1
813,Female,65 and above,Part-time,201-1000 employees,110000,Doctoral degree,2,No,1
814,Prefer not to say,35-44,Full-time,10001+ employees,65000,Bachelor's degree,10,No,1
815,Female,45-54,Retired,5001-10000 employees,135000,Doctoral degree,12,No,1
816,Prefer not to say,65 and above,Retired,Less than 50 employees,90000,High school diploma,26,Not applicable,1
817,Prefer not to say,65 and above,Part-time,Less than 50 employees,100000,Doctoral degree,10,Yes,0
818,Non-binary,25-34,Full-time,5001-10000 employees,30000,Associate degree,26,No,1
819,Male,35-44,Full-time,5001-10000 employees,145000,Doctoral degree,8,No,0
820,Prefer not to say,65 and above,Retired,1001-5000 employees,85000,Doctoral degree,26,Yes,0
821,Male,65 and above,Part-time,201-1000 employees,130000,High school diploma,2,Yes,1
822,Male,65 and above,Part-time,201-1000 employees,95000,Master's degree,20,Not applicable,1
823,Prefer not to say,65 and above,Retired,5001-10000 employees,100000,Master's degree,24,No,1
824,Female,55-64,Retired,10001+ employees,50000,Bachelor's degree,28,Yes,1
825,Prefer not to say,45-54,Retired,10001+ employees,105000,Bachelor's degree,24,Yes,1
826,Prefer not to say,65 and above,Part-time,Less than 50 employees,70000,Associate degree,12,No,1
827,Prefer not to say,55-64,Part-time,Less than 50 employees,120000,Bachelor's degree,24,No,1
828,Prefer not to say,55-64,Self-employed,1001-5000 employees,150000,Associate degree,24,Not applicable,1
829,Female,55-64,Self-employed,1001-5000 employees,115000,Doctoral degree,26,Not applicable,1
830,Male,45-54,Self-employed,51-200 employees,100000,Bachelor's degree,8,No,1
831,Non-binary,18-24,Retired,51-200 employees,105000,Bachelor's degree,6,Yes,1
832,Male,35-44,Self-employed,5001-10000 employees,115000,Master's degree,20,Not applicable,1
833,Non-binary,65 and above,Part-time,1001-5000 employees,180000,High school diploma,28,Not applicable,1
834,Female,18-24,Part-time,10001+ employees,80000,Master's degree,10,No,1
835,Non-binary,25-34,Self-employed,Less than 50 employees,160000,High school diploma,10,Yes,1
836,Male,35-44,Retired,201-1000 employees,100000,Bachelor's degree,18,Yes,1
837,Male,25-34,Retired,51-200 employees,90000,High school diploma,28,No,1
838,Female,18-24,Self-employed,Less than 50 employees,105000,Bachelor's degree,10,Not applicable,1
839,Female,55-64,Self-employed,201-1000 employees,125000,High school diploma,24,Not applicable,1
840,Female,18-24,Self-employed,Less than 50 employees,30000,High school diploma,24,Yes,1
841,Female,45-54,Self-employed,10001+ employees,125000,High school diploma,4,No,1
842,Male,55-64,Self-employed,5001-10000 employees,65000,Master's degree,18,No,1
843,Female,18-24,Part-time,1001-5000 employees,135000,Associate degree,26,No,1
844,Male,65 and above,Self-employed,201-1000 employees,70000,Master's degree,10,Not applicable,1
845,Non-binary,65 and above,Part-time,201-1000 employees,190000,High school diploma,24,Yes,1
846,Prefer not to say,25-34,Full-time,10001+ employees,185000,High school diploma,24,No,1
847,Non-binary,35-44,Part-time,1001-5000 employees,190000,High school diploma,6,Not applicable,1
848,Female,25-34,Full-time,201-1000 employees,35000,Associate degree,6,No,1
849,Male,25-34,Retired,51-200 employees,35000,High school diploma,2,No,1
850,Male,18-24,Retired,5001-10000 employees,135000,High school diploma,6,Not applicable,1
851,Female,18-24,Part-time,5001-10000 employees,95000,Doctoral degree,28,No,1
852,Male,35-44,Retired,1001-5000 employees,155000,Master's degree,24,Not applicable,1
853,Non-binary,35-44,Full-time,10001+ employees,95000,Master's degree,10,No,1
854,Prefer not to say,55-64,Self-employed,5001-10000 employees,160000,Doctoral degree,8,Yes,0
855,Female,55-64,Full-time,10001+ employees,60000,Doctoral degree,6,Not applicable,1
856,Male,45-54,Part-time,1001-5000 employees,110000,High school diploma,2,Not applicable,1
857,Male,45-54,Part-time,5001-10000 employees,115000,Master's degree,24,Not applicable,1
858,Female,35-44,Retired,1001-5000 employees,60000,High school diploma,16,Yes,1
859,Non-binary,35-44,Self-employed,201-1000 employees,195000,Doctoral degree,24,Not applicable,1
860,Prefer not to say,25-34,Part-time,Less than 50 employees,35000,High school diploma,4,Not applicable,1
861,Non-binary,55-64,Part-time,10001+ employees,140000,Doctoral degree,2,Not applicable,1
862,Male,25-34,Full-time,1001-5000 employees,45000,Bachelor's degree,24,Yes,1
863,Non-binary,65 and above,Self-employed,1001-5000 employees,195000,High school diploma,12,No,1
864,Male,35-44,Part-time,51-200 employees,150000,Bachelor's degree,12,Not applicable,1
865,Female,25-34,Self-employed,1001-5000 employees,130000,Associate degree,12,No,1
866,Female,55-64,Part-time,1001-5000 employees,70000,Doctoral degree,26,Not applicable,1
867,Prefer not to say,65 and above,Self-employed,51-200 employees,85000,Bachelor's degree,14,Yes,1
868,Male,35-44,Self-employed,10001+ employees,115000,Doctoral degree,24,Not applicable,0
869,Non-binary,55-64,Part-time,201-1000 employees,135000,Bachelor's degree,18,Yes,1
870,Non-binary,65 and above,Retired,5001-10000 employees,190000,Bachelor's degree,28,No,1
871,Female,25-34,Part-time,201-1000 employees,150000,Bachelor's degree,28,No,1
872,Prefer not to say,45-54,Self-employed,51-200 employees,175000,Master's degree,4,Not applicable,1
873,Male,45-54,Retired,Less than 50 employees,45000,Bachelor's degree,20,Not applicable,1
874,Female,35-44,Full-time,Less than 50 employees,125000,Doctoral degree,26,No,1
875,Prefer not to say,45-54,Full-time,1001-5000 employees,45000,Master's degree,22,No,1
876,Non-binary,18-24,Self-employed,1001-5000 employees,40000,Doctoral degree,22,Not applicable,1
877,Male,65 and above,Retired,Less than 50 employees,155000,Bachelor's degree,18,Yes,1
878,Male,25-34,Retired,5001-10000 employees,115000,Bachelor's degree,14,Yes,1
879,Female,55-64,Full-time,5001-10000 employees,170000,High school diploma,2,Yes,1
880,Prefer not to say,18-24,Part-time,201-1000 employees,75000,High school diploma,10,Yes,1
881,Non-binary,45-54,Retired,10001+ employees,55000,Bachelor's degree,14,Not applicable,1
882,Male,55-64,Full-time,201-1000 employees,130000,Doctoral degree,12,Not applicable,0
883,Female,65 and above,Retired,201-1000 employees,150000,Doctoral degree,8,Not applicable,1
884,Male,55-64,Self-employed,1001-5000 employees,40000,High school diploma,14,No,1
885,Prefer not to say,35-44,Retired,5001-10000 employees,155000,Master's degree,18,No,1
886,Prefer not to say,25-34,Self-employed,201-1000 employees,75000,High school diploma,2,Not applicable,1
887,Prefer not to say,25-34,Full-time,1001-5000 employees,170000,Bachelor's degree,12,Yes,1
888,Non-binary,45-54,Part-time,1001-5000 employees,60000,Associate degree,6,No,1
889,Female,45-54,Part-time,1001-5000 employees,165000,Doctoral degree,20,Yes,1
890,Prefer not to say,45-54,Part-time,10001+ employees,190000,Associate degree,22,Not applicable,1
891,Male,18-24,Self-employed,Less than 50 employees,165000,High school diploma,20,Not applicable,1
892,Non-binary,25-34,Part-time,5001-10000 employees,75000,High school diploma,6,Not applicable,1
893,Female,18-24,Part-time,201-1000 employees,80000,Associate degree,24,No,1
894,Male,25-34,Part-time,5001-10000 employees,90000,Doctoral degree,8,Not applicable,0
895,Prefer not to say,35-44,Full-time,10001+ employees,80000,High school diploma,18,No,1
896,Prefer not to say,55-64,Full-time,51-200 employees,65000,Master's degree,8,Yes,1
897,Non-binary,55-64,Retired,201-1000 employees,125000,Doctoral degree,14,Not applicable,1
898,Prefer not to say,55-64,Self-employed,5001-10000 employees,40000,Master's degree,4,Yes,1
899,Non-binary,18-24,Retired,201-1000 employees,40000,Bachelor's degree,10,Yes,1
900,Female,25-34,Retired,5001-10000 employees,30000,High school diploma,18,Yes,1
901,Prefer not to say,35-44,Full-time,201-1000 employees,50000,Doctoral degree,14,Yes,0
902,Non-binary,45-54,Self-employed,1001-5000 employees,90000,High school diploma,20,Yes,1
903,Non-binary,18-24,Part-time,5001-10000 employees,70000,Doctoral degree,2,No,1
904,Prefer not to say,65 and above,Retired,10001+ employees,170000,Master's degree,16,Yes,1
905,Prefer not to say,55-64,Full-time,5001-10000 employees,185000,Doctoral degree,10,Not applicable,0
906,Male,25-34,Retired,201-1000 employees,60000,High school diploma,18,Not applicable,1
907,Prefer not to say,45-54,Full-time,201-1000 employees,145000,Bachelor's degree,28,No,1
908,Prefer not to say,65 and above,Self-employed,10001+ employees,80000,Associate degree,18,Yes,1
909,Male,55-64,Full-time,5001-10000 employees,60000,Doctoral degree,8,Not applicable,0
910,Male,65 and above,Retired,51-200 employees,80000,Master's degree,28,Yes,1
911,Prefer not to say,55-64,Retired,5001-10000 employees,115000,Associate degree,20,Yes,1
912,Non-binary,25-34,Retired,51-200 employees,105000,Master's degree,12,Yes,1
913,Prefer not to say,35-44,Self-employed,201-1000 employees,85000,Master's degree,2,No,1
914,Female,18-24,Full-time,201-1000 employees,170000,High school diploma,14,Yes,1
915,Male,65 and above,Retired,51-200 employees,160000,High school diploma,6,Yes,1
916,Non-binary,55-64,Part-time,10001+ employees,100000,Doctoral degree,22,Yes,1
917,Non-binary,45-54,Retired,201-1000 employees,165000,Doctoral degree,8,Yes,1
918,Female,55-64,Retired,201-1000 employees,75000,High school diploma,14,Not applicable,1
919,Prefer not to say,55-64,Self-employed,201-1000 employees,140000,High school diploma,28,Not applicable,1
920,Non-binary,65 and above,Self-employed,201-1000 employees,185000,Bachelor's degree,22,No,1
921,Prefer not to say,18-24,Self-employed,Less than 50 employees,40000,Doctoral degree,20,No,0
922,Female,18-24,Part-time,51-200 employees,145000,Associate degree,18,Not applicable,1
923,Prefer not to say,55-64,Part-time,5001-10000 employees,90000,Bachelor's degree,4,No,1
924,Prefer not to say,18-24,Retired,5001-10000 employees,85000,Bachelor's degree,24,Not applicable,1
925,Male,45-54,Part-time,5001-10000 employees,45000,Master's degree,2,Not applicable,1
926,Prefer not to say,35-44,Self-employed,1001-5000 employees,120000,Bachelor's degree,18,No,1
927,Female,55-64,Part-time,Less than 50 employees,40000,Associate degree,28,Yes,1
928,Male,18-24,Retired,201-1000 employees,170000,High school diploma,12,Not applicable,1
929,Non-binary,25-34,Self-employed,51-200 employees,40000,High school diploma,20,Not applicable,1
930,Female,65 and above,Retired,10001+ employees,150000,Doctoral degree,18,No,1
931,Female,45-54,Retired,51-200 employees,105000,Bachelor's degree,28,Not applicable,1
932,Prefer not to say,25-34,Self-employed,201-1000 employees,35000,Master's degree,26,Yes,1
933,Male,55-64,Part-time,51-200 employees,55000,Bachelor's degree,20,Not applicable,1
934,Male,35-44,Part-time,1001-5000 employees,40000,Associate degree,28,No,1
935,Non-binary,35-44,Retired,10001+ employees,70000,Doctoral degree,28,Not applicable,1
936,Non-binary,65 and above,Retired,10001+ employees,105000,Associate degree,12,No,1
937,Female,25-34,Full-time,51-200 employees,150000,Associate degree,8,No,1
938,Prefer not to say,55-64,Retired,5001-10000 employees,55000,Master's degree,6,Not applicable,1
939,Prefer not to say,65 and above,Self-employed,10001+ employees,85000,Doctoral degree,28,No,0
940,Non-binary,55-64,Full-time,5001-10000 employees,70000,Doctoral degree,12,Yes,1
941,Prefer not to say,55-64,Full-time,1001-5000 employees,145000,Associate degree,4,No,1
942,Non-binary,25-34,Full-time,201-1000 employees,170000,Master's degree,6,No,1
943,Prefer not to say,65 and above,Retired,10001+ employees,150000,Master's degree,28,No,1
944,Non-binary,25-34,Full-time,51-200 employees,70000,Doctoral degree,2,Yes,1
945,Male,35-44,Self-employed,5001-10000 employees,40000,Associate degree,20,Not applicable,1
946,Female,18-24,Retired,51-200 employees,95000,Doctoral degree,24,No,1
947,Female,18-24,Part-time,5001-10000 employees,70000,Associate degree,24,No,1
948,Prefer not to say,18-24,Full-time,10001+ employees,55000,Bachelor's degree,6,Not applicable,1
949,Female,25-34,Self-employed,5001-10000 employees,175000,High school diploma,10,Not applicable,1
950,Female,65 and above,Part-time,Less than 50 employees,45000,Doctoral degree,26,Not applicable,1
951,Female,18-24,Full-time,201-1000 employees,80000,Doctoral degree,6,Yes,1
952,Prefer not to say,65 and above,Retired,5001-10000 employees,30000,Doctoral degree,4,Yes,0
953,Male,65 and above,Self-employed,201-1000 employees,55000,Bachelor's degree,8,Yes,1
954,Prefer not to say,55-64,Self-employed,51-200 employees,120000,Bachelor's degree,16,Not applicable,1
955,Female,45-54,Self-employed,10001+ employees,75000,High school diploma,28,Not applicable,1
956,Male,65 and above,Part-time,1001-5000 employees,150000,Doctoral degree,26,No,0
957,Male,18-24,Full-time,201-1000 employees,165000,Master's degree,2,No,1
958,Female,45-54,Retired,10001+ employees,175000,Master's degree,14,Not applicable,1
959,Female,55-64,Full-time,10001+ employees,145000,Associate degree,16,Not applicable,1
960,Female,55-64,Full-time,Less than 50 employees,105000,Doctoral degree,14,No,1
961,Male,45-54,Retired,1001-5000 employees,45000,High school diploma,2,No,1
962,Female,45-54,Self-employed,10001+ employees,190000,High school diploma,20,No,1
963,Prefer not to say,65 and above,Retired,51-200 employees,190000,Associate degree,20,Not applicable,1
964,Non-binary,65 and above,Retired,1001-5000 employees,115000,Associate degree,10,Not applicable,1
965,Female,55-64,Part-time,51-200 employees,155000,Doctoral degree,16,Yes,1
966,Prefer not to say,55-64,Part-time,Less than 50 employees,145000,Bachelor's degree,18,Yes,1
967,Female,25-34,Part-time,201-1000 employees,130000,Associate degree,2,Yes,1
968,Prefer not to say,65 and above,Self-employed,1001-5000 employees,105000,Associate degree,22,Yes,1
969,Male,25-34,Retired,51-200 employees,90000,Master's degree,16,No,1
970,Prefer not to say,18-24,Self-employed,Less than 50 employees,70000,Associate degree,8,Yes,1
971,Non-binary,35-44,Self-employed,Less than 50 employees,60000,Master's degree,8,Not applicable,1
972,Prefer not to say,25-34,Part-time,51-200 employees,60000,Associate degree,8,Not applicable,1
973,Female,25-34,Self-employed,10001+ employees,135000,Bachelor's degree,22,Not applicable,1
974,Female,25-34,Part-time,1001-5000 employees,120000,Doctoral degree,2,Yes,1
975,Prefer not to say,45-54,Retired,Less than 50 employees,120000,Associate degree,18,Yes,1
976,Female,18-24,Part-time,5001-10000 employees,130000,High school diploma,24,Yes,1
977,Male,45-54,Self-employed,10001+ employees,115000,Associate degree,20,Not applicable,1
978,Male,45-54,Part-time,Less than 50 employees,165000,Associate degree,12,No,1
979,Male,25-34,Full-time,1001-5000 employees,140000,High school diploma,8,Yes,1
980,Non-binary,45-54,Self-employed,201-1000 employees,65000,Bachelor's degree,22,Not applicable,1
981,Male,55-64,Part-time,10001+ employees,85000,Doctoral degree,2,Yes,0
982,Non-binary,18-24,Self-employed,10001+ employees,70000,Associate degree,10,Yes,1
983,Prefer not to say,35-44,Full-time,201-1000 employees,100000,High school diploma,20,No,1
984,Female,18-24,Retired,201-1000 employees,95000,Bachelor's degree,8,Yes,1
