,Age,Education Level,Occupation,Years of Experience,Marital Status,Work Hours per Week,Urban/Rural,label
958,18,Bachelor's,Marketing Specialist,0,Single,55,Rural,0
959,36,Master's,Project Manager,0,Married,40,Rural,1
960,27,High School,Medical Doctor,9,Single,45,Urban,1
961,64,High School,Barista,26,Widowed,30,Rural,0
962,62,High School,Financial Analyst,16,Widowed,45,Urban,1
963,52,Bachelor's,Medical Doctor,0,Married,60,Urban,1
964,64,Associate's,Software Engineer,5,Single,55,Urban,1
965,34,Master's,Sales Representative,14,Married,40,Rural,1
966,46,High School,Data Scientist,28,Widowed,45,Rural,1
967,65,Doctorate,Financial Analyst,28,Single,60,Rural,1
968,20,Master's,Financial Analyst,1,Widowed,55,Rural,1
969,29,Bachelor's,University Professor,8,Married,50,Urban,1
970,44,Doctorate,Project Manager,4,Married,0,Rural,1
971,64,Master's,Sales Representative,18,Married,55,Urban,1
972,36,Doctorate,Marketing Specialist,12,Married,30,Urban,1
973,65,Associate's,Barista,10,Single,40,Urban,0
974,37,Doctorate,Lawyer,4,Single,30,Rural,1
975,18,High School,Marketing Specialist,0,Widowed,40,Urban,0
976,54,High School,Engineer,34,Widowed,60,Urban,0
977,56,Bachelor's,Medical Doctor,22,Married,60,Rural,1
978,25,Doctorate,Financial Analyst,7,Married,50,Urban,1
979,62,Associate's,Financial Analyst,19,Single,0,Rural,1
980,33,Doctorate,Barista,15,Widowed,55,Urban,1
981,45,Master's,Financial Analyst,12,Widowed,60,Rural,1
982,34,Master's,Retired,14,Widowed,55,Rural,1
983,45,High School,Teacher,2,Single,50,Rural,0
984,25,Master's,Project Manager,4,Married,35,Rural,1
985,22,Bachelor's,Barista,2,Widowed,60,Rural,0
986,34,Doctorate,Sales Representative,13,Single,30,Rural,1
987,22,Bachelor's,Medical Doctor,1,Single,55,Urban,1
988,51,Master's,Retail Associate,3,Widowed,35,Urban,1
989,61,Master's,Sales Representative,20,Widowed,50,Rural,1
990,43,Master's,Project Manager,13,Widowed,50,Urban,1
991,47,High School,Barista,29,Single,40,Rural,0
992,20,Bachelor's,Retail Associate,2,Married,0,Urban,1
993,42,Associate's,Marketing Specialist,6,Single,60,Urban,0
994,21,Doctorate,Marketing Specialist,2,Widowed,35,Rural,1
995,56,Doctorate,Data Scientist,23,Married,60,Urban,1
996,32,Doctorate,Engineer,8,Widowed,55,Rural,1
997,65,Doctorate,Teacher,45,Married,30,Rural,1
998,59,Master's,Retail Associate,26,Widowed,30,Rural,1
999,52,Doctorate,Marketing Specialist,21,Married,30,Rural,1
