,age,education_level,marital_status,number_of_children,employment_status,occupation,location,years_of_work_experience,industry,label
896,44,masters,divorced,6,employed,blue collar,urban,7,finance,1
897,24,phd,divorced,10,retired,blue collar,rural,32,tech,1
898,46,bachelors,married,6,unemployed,white collar,urban,21,manufacturing,1
899,27,bachelors,married,10,unemployed,white collar,urban,6,manufacturing,1
900,61,high school,divorced,7,employed,white collar,rural,28,tech,1
901,28,masters,single,9,unemployed,white collar,urban,12,manufacturing,1
902,23,bachelors,separated,10,employed,blue collar,rural,36,tech,1
903,63,masters,married,0,employed,blue collar,urban,7,other,0
904,25,bachelors,divorced,10,employed,blue collar,rural,29,manufacturing,1
905,27,bachelors,single,9,retired,white collar,urban,17,tech,1
906,30,bachelors,divorced,6,employed,white collar,rural,32,retail,1
907,65,high school,single,2,retired,white collar,rural,15,tech,0
908,64,masters,separated,2,employed,white collar,urban,31,other,1
909,21,masters,divorced,6,unemployed,blue collar,rural,17,healthcare,1
910,32,phd,divorced,0,employed,white collar,rural,30,finance,1
911,62,high school,single,1,retired,blue collar,rural,26,manufacturing,0
912,56,high school,single,6,retired,blue collar,rural,9,finance,1
913,48,high school,separated,7,employed,white collar,rural,14,tech,1
914,21,high school,divorced,9,employed,white collar,urban,17,other,1
915,55,phd,separated,10,employed,blue collar,rural,29,tech,1
916,52,masters,married,6,employed,blue collar,urban,24,other,1
917,42,bachelors,separated,10,employed,blue collar,rural,26,manufacturing,1
918,51,masters,separated,2,retired,white collar,rural,8,finance,0
919,39,masters,single,5,unemployed,white collar,urban,18,healthcare,1
920,22,bachelors,separated,1,retired,blue collar,rural,12,tech,0
921,42,bachelors,single,4,employed,blue collar,urban,18,other,1
922,19,high school,single,5,unemployed,white collar,urban,17,finance,1
923,59,phd,separated,8,employed,blue collar,urban,6,manufacturing,1
924,30,bachelors,divorced,7,retired,white collar,rural,39,retail,1
925,28,bachelors,separated,4,employed,blue collar,rural,7,retail,1
926,28,high school,married,9,employed,blue collar,rural,17,other,1
927,63,masters,married,11,retired,white collar,rural,31,tech,1
928,22,phd,single,9,retired,white collar,urban,40,tech,1
929,55,phd,separated,0,unemployed,white collar,urban,26,healthcare,0
930,55,phd,married,0,employed,blue collar,rural,36,tech,0
931,25,high school,divorced,10,retired,white collar,urban,20,manufacturing,1
932,61,bachelors,separated,7,employed,white collar,urban,5,tech,1
933,47,phd,single,1,employed,white collar,rural,2,finance,1
934,55,high school,divorced,1,employed,blue collar,rural,34,other,0
935,56,masters,married,10,retired,blue collar,rural,36,manufacturing,1
936,26,masters,divorced,5,retired,blue collar,urban,4,retail,1
937,50,phd,single,2,retired,white collar,urban,6,manufacturing,0
938,51,phd,single,5,retired,white collar,urban,27,retail,1
939,25,high school,married,9,retired,blue collar,urban,23,retail,1
940,42,high school,married,9,employed,blue collar,rural,8,tech,1
941,36,masters,single,3,retired,blue collar,urban,29,tech,1
942,44,masters,married,5,retired,white collar,urban,38,manufacturing,1
943,57,bachelors,separated,9,retired,blue collar,rural,25,manufacturing,1
944,25,phd,separated,2,unemployed,blue collar,rural,8,other,0
945,40,masters,single,9,employed,white collar,urban,6,retail,1
946,59,phd,divorced,0,retired,white collar,rural,15,finance,0
947,33,bachelors,separated,7,unemployed,blue collar,rural,6,retail,1
948,41,phd,separated,0,unemployed,white collar,urban,11,tech,1
949,36,bachelors,separated,3,unemployed,white collar,rural,31,other,1
950,24,high school,married,6,retired,white collar,rural,37,healthcare,1
951,38,masters,separated,1,retired,blue collar,urban,24,retail,0
952,36,phd,separated,0,employed,white collar,urban,2,retail,1
953,28,bachelors,separated,7,unemployed,blue collar,urban,18,retail,1
954,60,phd,married,3,unemployed,blue collar,urban,27,manufacturing,1
955,20,bachelors,married,7,employed,white collar,rural,2,healthcare,1
956,42,bachelors,married,9,employed,blue collar,rural,39,tech,1
957,42,high school,single,9,retired,blue collar,rural,19,other,1
958,40,phd,separated,2,retired,white collar,rural,1,healthcare,0
959,56,high school,divorced,6,employed,white collar,urban,27,finance,1
960,31,bachelors,married,0,employed,white collar,urban,35,other,1
961,53,high school,single,6,employed,white collar,rural,10,tech,1
962,64,phd,separated,12,retired,white collar,rural,35,finance,1
963,47,bachelors,separated,14,retired,blue collar,rural,27,healthcare,1
964,60,masters,single,4,retired,white collar,rural,30,other,1
965,65,bachelors,separated,7,unemployed,white collar,rural,10,manufacturing,1
966,51,phd,single,10,employed,blue collar,urban,40,other,1
967,54,high school,married,11,retired,blue collar,urban,11,retail,1
968,37,phd,separated,7,retired,blue collar,rural,30,manufacturing,1
969,50,bachelors,single,1,employed,blue collar,urban,10,retail,0
970,53,bachelors,single,2,unemployed,white collar,urban,3,manufacturing,0
971,62,phd,single,0,unemployed,blue collar,urban,38,healthcare,0
972,18,bachelors,divorced,4,employed,blue collar,urban,5,other,1
973,36,bachelors,single,10,employed,white collar,rural,25,other,1
974,56,high school,married,4,retired,white collar,rural,27,manufacturing,1
975,29,masters,divorced,2,retired,blue collar,rural,30,manufacturing,0
976,39,high school,divorced,2,unemployed,blue collar,rural,9,other,0
977,24,bachelors,married,9,retired,white collar,rural,34,tech,1
978,39,bachelors,divorced,3,unemployed,blue collar,urban,40,tech,1
979,58,bachelors,married,10,unemployed,white collar,rural,19,retail,1
980,18,high school,single,15,retired,white collar,urban,21,retail,1
981,63,phd,married,7,unemployed,blue collar,urban,27,healthcare,1
982,20,masters,married,5,unemployed,white collar,urban,16,finance,1
983,38,phd,single,9,employed,blue collar,rural,25,healthcare,1
984,21,masters,married,6,retired,white collar,urban,1,retail,1
985,40,phd,married,6,retired,white collar,urban,36,retail,1
986,30,phd,divorced,2,employed,white collar,urban,13,manufacturing,1
987,44,bachelors,single,4,unemployed,blue collar,rural,7,other,1
988,33,bachelors,separated,5,retired,blue collar,rural,24,healthcare,1
989,50,phd,single,7,retired,blue collar,rural,29,other,1
990,46,high school,single,1,retired,white collar,urban,22,retail,0
991,45,masters,divorced,0,retired,blue collar,rural,10,other,0
992,45,high school,married,15,unemployed,white collar,urban,19,healthcare,1
993,47,phd,separated,1,retired,white collar,rural,18,finance,0
994,19,phd,divorced,3,unemployed,blue collar,urban,24,manufacturing,1
995,59,bachelors,separated,6,employed,white collar,urban,16,tech,1
996,24,masters,separated,0,unemployed,blue collar,rural,1,tech,0
997,59,high school,single,11,unemployed,white collar,urban,24,healthcare,1
998,58,bachelors,married,8,unemployed,blue collar,rural,27,healthcare,1
999,29,phd,married,0,unemployed,blue collar,rural,5,other,0
