,Gender,Age,Department,Amount of time spent reading books per day,Reason for reading books,How to manage books for reading,Number of e-books you read last two years,Number of printed books you read last two years,Favorite books for reading to spend leisure time,What is the change that you fell after reading books,Who influenced you to read books,Which language books do you like to read,Where do you read printed books,Do you read Newspaper,The format that you used for reading books,Frequency of reading books,target
361,Female,22,EEE,4,Keep me informative,Borrow,More than 20,More than 20,Others,Increase Problem Solving Skill,Self-Decision,Others,Home,Yes,E-books,A few times a month,0
362,Male,21,EEE,2,Academic Purpose,E-books,More than 20,6-10,Fiction,Increase Academic Performance,Self-Decision,English,Library,Yes,E-books,A few times a month,1
363,Male,21,EEE,2,Academic Purpose,Buy,11-15,More than 20,Fiction,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,On everyday basis,1
364,Male,23,EEE,2,Keep me informative,Used-all,1-5,6-10,Biography,Increase Creative Thinking,Self-Decision,Bangla,Library,Yes,Both,Less than once a year,1
365,Male,22,EEE,4,Academic Purpose,Borrow,1-5,1-5,Biography,Increase Creative Thinking,Parents,English,Library,Yes,Both,A few times a month,1
366,Male,20,Textile,4,Academic Purpose,Others,,1-5,Others,Increase Academic Performance,Self-Decision,English,Home,Yes,Both,On everyday basis,1
367,Male,21,SWE,2,Academic Purpose,Buy,1-5,1-5,Others,Increase Problem Solving Skill,Self-Decision,Bangla,Home,No,Both,On everyday basis,1
368,Female,22,Pharmacy,1,Keep me informative,Buy,,More than 20,Others,Increase Academic Performance,Parents,Bangla,Home,Yes,Printed,A few times a week,1
369,Male,23,EEE,3,Keep me informative,Used-all,11-15,1-5,Others,Increase Creative Thinking,Teachers,English,Home,Yes,Both,A few times a week,1
370,Male,23,EEE,1,Keep me informative,E-books,More than 20,More than 20,Politics,Increase Problem Solving Skill,Self-Decision,Bangla,During Travel,Yes,Both,A few times a week,0
371,Male,23,EEE,1,Academic Purpose,Buy,1-5,11-15,Non-Fiction,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,Both,A few times a week,1
372,Male,21,EEE,2,Academic Purpose,Used-all,More than 20,11-15,Others,Increase Academic Performance,Self-Decision,Bangla,Library,No,Both,On everyday basis,1
373,Male,22,EEE,3,Academic Purpose,Buy,,More than 20,Others,Increase Academic Performance,Parents,Bangla,Home,Yes,Printed,A few times a week,1
374,Male,23,Textile,1,Academic Purpose,E-books,6-10,11-15,Biography,Feel Relax,Self-Decision,English,Home,Yes,Printed,A few times a week,1
375,Female,22,NFE,1,Academic Purpose,Others,1-5,1-5,Others,Feel Relax,Self-Decision,English,Home,No,Both,A few times a month,1
376,Male,22,EEE,1,Academic Purpose,E-books,6-10,1-5,Others,Increase Academic Performance,Teachers,Bangla,Home,No,Both,Once or twice a year,1
377,Male,21,Textile,1,To increase my English vocabulary knowledge,E-books,11-15,,Politics,Feel Relax,Self-Decision,Bangla,Library,Yes,E-books,On everyday basis,0
378,Male,22,BBA,1,Academic Purpose,Buy,1-5,1-5,Others,Increase Academic Performance,Teachers,English,Home,Yes,Both,On everyday basis,1
379,Male,22,BBA,1,Entertainment Purpose,Others,6-10,,Fiction,Feel Relax,Self-Decision,Bangla,Home,No,Printed,Less than once a year,0
380,Male,22,BBA,1,Academic Purpose,Used-all,More than 20,6-10,Fiction,Increase Academic Performance,Teachers,English,Home,No,Both,On everyday basis,1
381,Female,20,BBA,2,Academic Purpose,Buy,1-5,6-10,Others,Increase Academic Performance,Parents,Bangla,Home,No,Both,A few times a week,1
382,Female,22,BBA,1,Academic Purpose,Used-all,1-5,,Biography,Increase Academic Performance,Self-Decision,Bangla,Home,No,Both,A few times a month,1
383,Male,23,BBA,2,Academic Purpose,Buy,,,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Library,Yes,Both,On everyday basis,0
384,Female,20,BBA,2,Academic Purpose,E-books,1-5,More than 20,Politics,Increase Academic Performance,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,1
385,Male,22,BBA,1,To increase my English vocabulary knowledge,E-books,1-5,,Non-Fiction,Increase Creative Thinking,Parents,Bangla,Library,Yes,Both,On everyday basis,0
386,Male,22,BBA,1,Entertainment Purpose,Others,More than 20,,Fiction,Increase Creative Thinking,Friends,Bangla,Library,Yes,Both,Less than once a year,1
387,Male,21,BBA,1,Academic Purpose,E-books,11-15,16-20,Others,Increase Academic Performance,Self-Decision,English,Home,No,Both,A few times a week,1
388,Male,22,Textile,2,Academic Purpose,E-books,6-10,6-10,Others,Increase Problem Solving Skill,Teachers,English,Home,Yes,E-books,On everyday basis,1
389,Male,22,EEE,2,Academic Purpose,E-books,6-10,6-10,Others,Increase Academic Performance,Teachers,English,Library,Yes,E-books,A few times a week,1
390,Male,23,EEE,1,Academic Purpose,Used-all,,1-5,Others,Increase Academic Performance,Self-Decision,Bangla,Home,No,Both,On everyday basis,1
391,Male,22,English,3,Keep me informative,Buy,More than 20,6-10,Non-Fiction,Increase Problem Solving Skill,Self-Decision,English,Library,No,Printed,A few times a month,1
392,Male,21,EEE,1,To increase my English vocabulary knowledge,E-books,More than 20,6-10,Fiction,Increase Problem Solving Skill,Self-Decision,English,Home,Yes,Both,A few times a week,1
393,Male,23,EEE,1,Keep me informative,Used-all,1-5,6-10,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,A few times a week,1
394,Male,22,EEE,1,Academic Purpose,Used-all,11-15,6-10,Biography,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,A few times a week,0
395,Male,20,SWE,1,Entertainment Purpose,Borrow,1-5,More than 20,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Printed,A few times a week,0
396,Female,21,Pharmacy,1,Academic Purpose,Buy,1-5,1-5,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,1
397,Male,22,Pharmacy,1,Academic Purpose,Buy,,1-5,Fiction,Increase Academic Performance,Parents,Bangla,Home,Yes,Printed,On everyday basis,1
398,Male,20,Pharmacy,3,Academic Purpose,Borrow,6-10,More than 20,Biography,Increase Creative Thinking,Friends,Bangla,Library,No,E-books,A few times a week,1
399,Female,21,Pharmacy,3,Academic Purpose,Used-all,6-10,11-15,Others,Increase Academic Performance,Self-Decision,English,Library,No,Both,On everyday basis,1
400,Male,21,Pharmacy,2,Keep me informative,Used-all,,,Others,Increase Creative Thinking,Self-Decision,English,Library,No,Both,A few times a week,1
401,Female,21,Pharmacy,1,Academic Purpose,Others,,,Others,Increase Academic Performance,Self-Decision,Bangla,Home,No,Printed,A few times a week,1
402,Male,21,Pharmacy,2,Academic Purpose,Used-all,6-10,16-20,Biography,Increase Academic Performance,Self-Decision,English,Library,Yes,Printed,A few times a week,1
403,Male,20,EEE,2,Keep me informative,Used-all,6-10,More than 20,Fiction,Increase Problem Solving Skill,Self-Decision,English,Home,Yes,Both,On everyday basis,0
404,Male,20,SWE,1,Keep me informative,Buy,1-5,1-5,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Printed,A few times a month,0
405,Male,22,SWE,1,Academic Purpose,Used-all,6-10,6-10,Politics,Increase Creative Thinking,Friends,Bangla,Home,Yes,Both,A few times a week,0
406,Male,21,SWE,1,Academic Purpose,E-books,1-5,1-5,Fiction,Increase Problem Solving Skill,Self-Decision,Bangla,Home,No,Both,A few times a week,1
407,Male,23,SWE,2,To increase my English vocabulary knowledge,Borrow,11-15,1-5,Others,Feel Relax,Self-Decision,English,Library,Yes,Both,On everyday basis,1
408,Male,21,SWE,4,Keep me informative,Used-all,More than 20,More than 20,Non-Fiction,Increase Creative Thinking,Parents,English,Home,Yes,Both,A few times a week,0
409,Male,22,EEE,1,Academic Purpose,E-books,1-5,1-5,Others,Increase Creative Thinking,Teachers,Bangla,Home,Yes,E-books,A few times a week,1
410,Female,22,NFE,2,Academic Purpose,Used-all,6-10,1-5,Fiction,Increase Academic Performance,Teachers,English,Home,Yes,Both,A few times a week,1
411,Female,23,NFE,1,Academic Purpose,E-books,11-15,,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,No,E-books,A few times a week,1
412,Female,22,NFE,1,Keep me informative,Others,,,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,E-books,Less than once a year,0
413,Male,21,SWE,1,Academic Purpose,Others,,,Others,Feel Relax,Self-Decision,Bangla,Home,Yes,Both,Once or twice a year,1
414,Female,22,NFE,1,Academic Purpose,Used-all,1-5,6-10,Non-Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,A few times a week,1
415,Male,22,EEE,2,Academic Purpose,Borrow,1-5,,Others,Increase Problem Solving Skill,Parents,Others,Home,Yes,Both,A few times a week,1
416,Female,23,NFE,1,Academic Purpose,Others,1-5,1-5,Others,Increase Academic Performance,Self-Decision,English,During Travel,Yes,Both,A few times a week,1
417,Male,22,BBA,1,Academic Purpose,E-books,16-20,6-10,Biography,Increase Academic Performance,Self-Decision,English,Library,No,E-books,A few times a week,1
418,Male,20,BBA,2,To increase my English vocabulary knowledge,Buy,,1-5,Others,Increase Problem Solving Skill,Friends,Bangla,Library,Yes,Printed,A few times a week,1
419,Male,21,BBA,2,Academic Purpose,Buy,,More than 20,Others,Increase Academic Performance,Self-Decision,Bangla,Home,No,Printed,On everyday basis,1
420,Male,21,BBA,2,Academic Purpose,Used-all,16-20,6-10,Others,Increase Creative Thinking,Teachers,Others,Library,Yes,Both,On everyday basis,1
421,Female,20,BBA,2,Academic Purpose,Used-all,,,Others,Feel Relax,Self-Decision,Bangla,Home,Yes,Both,A few times a week,1
422,Male,22,MCT,3,Keep me informative,Used-all,1-5,1-5,Fiction,Increase Creative Thinking,Teachers,Bangla,Home,Yes,Both,A few times a week,0
423,Male,20,BBA,1,Academic Purpose,Buy,,1-5,Others,Increase Academic Performance,Teachers,Bangla,Home,Yes,Both,On everyday basis,1
424,Female,21,BBA,2,Academic Purpose,Used-all,6-10,More than 20,Fiction,Feel Relax,Self-Decision,Bangla,Home,No,Both,On everyday basis,0
425,Female,21,BBA,1,Entertainment Purpose,Used-all,More than 20,11-15,Fiction,Increase Creative Thinking,Self-Decision,English,Home,No,Both,A few times a month,0
426,Female,21,BBA,4,Academic Purpose,Used-all,1-5,,Fiction,Increase Creative Thinking,Self-Decision,English,Home,No,Both,On everyday basis,0
427,Male,23,BBA,2,To increase my English vocabulary knowledge,E-books,1-5,6-10,Biography,Increase Creative Thinking,Parents,English,Home,Yes,Both,A few times a week,1
428,Male,22,BBA,1,Academic Purpose,Used-all,1-5,More than 20,Fiction,Increase Creative Thinking,Self-Decision,English,Home,Yes,Printed,On everyday basis,1
429,Male,22,BBA,1,Academic Purpose,E-books,More than 20,6-10,Others,Feel Relax,Self-Decision,Bangla,Home,Yes,Both,A few times a week,0
430,Male,22,BBA,3,Academic Purpose,Buy,6-10,More than 20,Others,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,0
431,Female,22,English,2,To increase my English vocabulary knowledge,Buy,11-15,1-5,Fiction,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,A few times a month,0
432,Female,21,English,4,To increase my English vocabulary knowledge,Used-all,16-20,6-10,Fiction,Increase Creative Thinking,Parents,Bangla,Home,Yes,Printed,A few times a week,1
433,Female,22,English,1,Academic Purpose,Buy,,6-10,Non-Fiction,Increase Creative Thinking,Friends,Bangla,Home,No,Printed,On everyday basis,0
434,Female,22,English,1,Academic Purpose,Buy,,6-10,Non-Fiction,Increase Creative Thinking,Friends,Bangla,Home,No,Printed,On everyday basis,0
435,Male,23,English,2,Keep me informative,Used-all,16-20,16-20,Non-Fiction,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,On everyday basis,0
436,Male,22,English,2,Keep me informative,Used-all,6-10,1-5,Others,Feel Relax,Self-Decision,Bangla,Home,Yes,Printed,On everyday basis,0
437,Female,21,English,1,Entertainment Purpose,Used-all,16-20,6-10,Fiction,Increase Creative Thinking,Parents,Bangla,Library,No,Both,On everyday basis,0
438,Female,21,English,1,Academic Purpose,Used-all,More than 20,11-15,Others,Increase Creative Thinking,Parents,English,Home,Yes,Printed,A few times a week,0
439,Female,21,English,1,Academic Purpose,Buy,11-15,6-10,Others,Increase Problem Solving Skill,Self-Decision,Bangla,Home,No,Both,A few times a month,0
440,Male,21,English,1,Entertainment Purpose,Buy,11-15,11-15,Fiction,Increase Creative Thinking,Parents,Bangla,Home,No,Printed,A few times a week,0
441,Female,22,English,1,Academic Purpose,Buy,11-15,11-15,Others,Increase Academic Performance,Teachers,Bangla,Home,No,Printed,A few times a week,1
442,Male,22,SWE,2,Keep me informative,E-books,11-15,6-10,Non-Fiction,Increase Problem Solving Skill,Parents,Bangla,Home,No,Both,A few times a week,0
443,Male,22,SWE,1,Academic Purpose,E-books,6-10,1-5,Others,Increase Academic Performance,Self-Decision,English,Home,No,E-books,A few times a month,1
444,Male,22,SWE,1,Academic Purpose,E-books,1-5,1-5,Others,Increase Academic Performance,Self-Decision,English,Home,No,E-books,Once or twice a year,1
445,Male,23,SWE,2,Keep me informative,E-books,11-15,1-5,Others,Increase Problem Solving Skill,Self-Decision,English,Home,No,Both,A few times a week,0
446,Male,22,SWE,1,Academic Purpose,E-books,1-5,1-5,Biography,Increase Problem Solving Skill,Teachers,Bangla,Home,Yes,Printed,On everyday basis,1
447,Male,23,SWE,1,Keep me informative,Buy,1-5,6-10,Others,Increase Creative Thinking,Friends,Bangla,Home,No,Both,On everyday basis,0
448,Female,22,SWE,1,Academic Purpose,E-books,6-10,16-20,Fiction,Feel Relax,Friends,Bangla,Home,No,Both,A few times a week,0
449,Female,21,NFE,4,Academic Purpose,Used-all,1-5,More than 20,Others,Increase Academic Performance,Teachers,English,Library,No,Both,On everyday basis,1
450,Female,22,NFE,1,Keep me informative,Borrow,,1-5,Non-Fiction,Increase Creative Thinking,Parents,Bangla,Home,No,Printed,A few times a month,0
451,Female,22,NFE,3,Entertainment Purpose,Used-all,11-15,More than 20,Fiction,Feel Relax,Parents,Bangla,Home,No,Printed,On everyday basis,0
452,Female,21,NFE,4,Entertainment Purpose,Used-all,11-15,1-5,Others,Feel Relax,Self-Decision,Bangla,Home,Yes,Both,A few times a week,0
453,Male,22,NFE,1,Keep me informative,Used-all,6-10,6-10,Fiction,Increase Creative Thinking,Friends,Bangla,Home,Yes,Printed,A few times a week,1
454,Female,21,NFE,4,Keep me informative,Used-all,1-5,More than 20,Non-Fiction,Feel Relax,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,0
455,Male,21,NFE,1,Academic Purpose,Used-all,1-5,1-5,Fiction,Increase Academic Performance,Self-Decision,Bangla,Home,No,Both,A few times a month,1
456,Female,21,NFE,3,Academic Purpose,Used-all,1-5,More than 20,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Both,A few times a week,0
457,Female,23,NFE,2,Keep me informative,Borrow,,More than 20,Non-Fiction,Feel Relax,Self-Decision,Bangla,During Travel,No,Printed,A few times a week,0
458,Male,20,NFE,1,Academic Purpose,E-books,1-5,1-5,Others,Increase Creative Thinking,Teachers,Bangla,Library,Yes,E-books,On everyday basis,1
459,Female,21,NFE,2,To increase my English vocabulary knowledge,Others,1-5,,Others,Feel Relax,Friends,Bangla,Home,Yes,Both,On everyday basis,1
460,Male,22,NFE,1,To increase my English vocabulary knowledge,Used-all,1-5,More than 20,Others,Increase Creative Thinking,Teachers,English,Home,Yes,Both,On everyday basis,1
461,Female,21,NFE,1,Academic Purpose,E-books,1-5,1-5,Fiction,Increase Academic Performance,Self-Decision,Bangla,Home,No,E-books,A few times a week,1
462,Female,18,NFE,1,Entertainment Purpose,Borrow,,1-5,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Printed,On everyday basis,0
463,Female,21,SWE,1,Academic Purpose,E-books,1-5,1-5,Fiction,Increase Academic Performance,Teachers,Bangla,Home,No,E-books,A few times a month,1
464,Male,23,EEE,3,Academic Purpose,Used-all,11-15,16-20,Others,Increase Problem Solving Skill,Self-Decision,Bangla,Library,No,Both,On everyday basis,0
465,Male,23,SWE,2,Academic Purpose,Used-all,6-10,More than 20,Biography,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,0
466,Male,21,Textile,2,To increase my English vocabulary knowledge,Used-all,6-10,11-15,Non-Fiction,Increase Creative Thinking,Parents,English,Home,No,Printed,A few times a week,0
467,Female,22,NFE,3,Academic Purpose,Buy,,6-10,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Printed,A few times a month,1
468,Female,22,NFE,1,Academic Purpose,Others,,More than 20,Others,Feel Relax,Self-Decision,Bangla,Home,No,Printed,Once or twice a year,0
469,Female,20,Textile,2,Keep me informative,Used-all,1-5,6-10,Fiction,Increase Creative Thinking,Self-Decision,English,Home,No,Printed,A few times a week,0
470,Male,22,Textile,1,Academic Purpose,E-books,16-20,16-20,Fiction,Increase Academic Performance,Self-Decision,English,Home,Yes,Both,On everyday basis,1
471,Male,21,Textile,1,Academic Purpose,Used-all,11-15,1-5,Others,Increase Academic Performance,Teachers,Bangla,Home,No,Both,A few times a week,1
472,Female,21,Textile,1,Academic Purpose,E-books,6-10,6-10,Biography,Increase Academic Performance,Self-Decision,English,Library,No,Both,A few times a week,1
473,Male,19,Textile,1,Academic Purpose,E-books,11-15,6-10,Biography,Increase Creative Thinking,Self-Decision,Bangla,Home,No,E-books,A few times a week,1
474,Male,21,Textile,2,Academic Purpose,Used-all,6-10,6-10,Fiction,Increase Problem Solving Skill,Parents,English,Home,Yes,Both,A few times a week,1
475,Female,21,NFE,1,Entertainment Purpose,Used-all,1-5,6-10,Fiction,Feel Relax,Self-Decision,Bangla,Home,No,Printed,A few times a week,0
476,Female,22,NFE,2,Academic Purpose,Others,,1-5,Others,Increase Creative Thinking,Parents,Bangla,Home,No,Printed,A few times a week,0
477,Male,21,Textile,4,Academic Purpose,Used-all,More than 20,More than 20,Others,Increase Academic Performance,Parents,Bangla,Home,No,Both,On everyday basis,1
478,Female,22,BBA,1,To increase my English vocabulary knowledge,Others,1-5,1-5,Fiction,Increase Academic Performance,Teachers,English,Home,Yes,Both,A few times a week,1
479,Male,21,BBA,1,Academic Purpose,Borrow,1-5,,Others,Feel Relax,Self-Decision,Bangla,Home,Yes,Both,A few times a month,0
480,Male,22,BBA,2,Academic Purpose,Used-all,6-10,11-15,Others,Increase Academic Performance,Self-Decision,Bangla,Home,No,Both,A few times a week,1
481,Male,22,BBA,1,Academic Purpose,Buy,1-5,11-15,Politics,Increase Creative Thinking,Parents,Bangla,Home,Yes,Both,On everyday basis,1
482,Female,21,BBA,1,Academic Purpose,Used-all,6-10,11-15,Others,Increase Academic Performance,Self-Decision,English,Home,No,E-books,A few times a week,1
483,Female,22,BBA,1,Academic Purpose,Used-all,6-10,More than 20,Non-Fiction,Increase Academic Performance,Self-Decision,Bangla,During Travel,Yes,Both,A few times a month,1
484,Female,20,MCT,4,Keep me informative,Used-all,1-5,More than 20,Others,Increase Creative Thinking,Self-Decision,Bangla,Library,Yes,Both,On everyday basis,0
485,Female,21,CSE,1,Academic Purpose,Used-all,11-15,6-10,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Both,A few times a week,1
486,Male,23,CSE,1,Keep me informative,Others,6-10,6-10,Biography,Increase Creative Thinking,Self-Decision,English,Home,Yes,Printed,A few times a week,0
487,Female,20,Pharmacy,1,To increase my English vocabulary knowledge,Buy,1-5,,Non-Fiction,Increase Creative Thinking,Self-Decision,English,Home,No,Printed,A few times a week,0
488,Male,20,Pharmacy,4,Academic Purpose,Others,1-5,,Others,Increase Academic Performance,Self-Decision,English,Library,No,Printed,Once or twice a year,1
489,Female,20,Pharmacy,2,Academic Purpose,Buy,,6-10,Fiction,Increase Academic Performance,Self-Decision,English,Home,No,Both,On everyday basis,1
490,Male,21,Pharmacy,3,Keep me informative,Used-all,6-10,More than 20,Non-Fiction,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,1
491,Male,21,Pharmacy,4,Academic Purpose,E-books,1-5,More than 20,Biography,Increase Academic Performance,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,1
492,Female,23,CSE,1,Academic Purpose,E-books,6-10,1-5,Fiction,Increase Academic Performance,Self-Decision,Bangla,Home,No,Both,A few times a week,1
493,Female,20,Pharmacy,1,To increase my English vocabulary knowledge,Used-all,,,Non-Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Printed,Once or twice a year,1
494,Female,20,Pharmacy,4,Academic Purpose,Used-all,More than 20,16-20,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,A few times a week,1
495,Female,18,Pharmacy,2,Academic Purpose,Used-all,1-5,More than 20,Others,Increase Academic Performance,Self-Decision,English,Home,No,Both,On everyday basis,1
496,Female,19,Pharmacy,2,Entertainment Purpose,Used-all,1-5,More than 20,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,0
497,Male,22,Pharmacy,1,Academic Purpose,E-books,1-5,1-5,Non-Fiction,Increase Creative Thinking,Self-Decision,English,Home,No,Both,On everyday basis,1
498,Female,20,Pharmacy,2,To increase my English vocabulary knowledge,Others,1-5,More than 20,Politics,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,A few times a week,0
499,Male,19,Pharmacy,1,Entertainment Purpose,Buy,6-10,1-5,Non-Fiction,Increase Creative Thinking,Parents,Bangla,Home,Yes,Both,A few times a week,1
500,Female,19,Pharmacy,1,Academic Purpose,Used-all,1-5,1-5,Fiction,Increase Academic Performance,Teachers,Bangla,Home,No,Both,On everyday basis,1
501,Male,22,BBA,1,Academic Purpose,E-books,6-10,6-10,Fiction,Increase Creative Thinking,Self-Decision,Bangla,During Travel,Yes,E-books,On everyday basis,1
502,Male,22,BBA,3,Academic Purpose,Buy,16-20,1-5,Fiction,Increase Creative Thinking,Teachers,English,Home,Yes,Both,On everyday basis,1
503,Male,21,BBA,1,Academic Purpose,Buy,1-5,11-15,Others,Feel Relax,Parents,English,Library,No,Both,A few times a week,1
504,Female,20,BBA,2,Academic Purpose,Others,,1-5,Others,Increase Academic Performance,Self-Decision,English,Home,Yes,Both,Once or twice a year,1
505,Male,21,BBA,1,Academic Purpose,Used-all,1-5,1-5,Others,Increase Academic Performance,Self-Decision,Bangla,Library,No,Both,A few times a month,1
506,Female,20,BBA,1,To increase my English vocabulary knowledge,Used-all,11-15,6-10,Fiction,Feel Relax,Teachers,Bangla,Home,Yes,Both,On everyday basis,0
507,Male,20,Pharmacy,4,Academic Purpose,Used-all,1-5,11-15,Fiction,Increase Academic Performance,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,1
508,Male,21,BBA,2,Academic Purpose,E-books,6-10,1-5,Others,Feel Relax,Self-Decision,English,Home,Yes,Printed,On everyday basis,1
509,Female,21,CSE,1,Academic Purpose,E-books,11-15,6-10,Biography,Increase Problem Solving Skill,Self-Decision,Bangla,Home,No,Both,A few times a week,1
510,Male,20,MCT,3,Academic Purpose,E-books,11-15,11-15,Others,Increase Problem Solving Skill,Self-Decision,Bangla,Home,No,Both,Once or twice a year,1
511,Male,19,Textile,1,To increase my English vocabulary knowledge,Buy,1-5,,Politics,Increase Creative Thinking,Parents,Bangla,Home,Yes,Both,On everyday basis,1
512,Male,21,SWE,1,To increase my English vocabulary knowledge,E-books,6-10,1-5,Fiction,Increase Creative Thinking,Self-Decision,English,Home,No,E-books,Once or twice a year,0
513,Male,22,CSE,1,Academic Purpose,Buy,1-5,1-5,Biography,Increase Creative Thinking,Parents,Bangla,Home,Yes,Printed,On everyday basis,1
514,Male,23,CSE,1,Keep me informative,Buy,More than 20,More than 20,Non-Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Printed,On everyday basis,0
515,Male,21,Textile,1,To increase my English vocabulary knowledge,E-books,More than 20,More than 20,Biography,Feel Relax,Friends,Bangla,Home,Yes,Both,A few times a month,1
516,Female,18,Textile,4,Keep me informative,Borrow,11-15,More than 20,Biography,Increase Academic Performance,Self-Decision,English,Library,Yes,Both,On everyday basis,1
517,Male,22,SWE,2,Keep me informative,Used-all,More than 20,6-10,Politics,Increase Creative Thinking,Parents,Bangla,Home,Yes,Both,On everyday basis,1
518,Male,22,Textile,3,To increase my English vocabulary knowledge,Borrow,6-10,More than 20,Others,Feel Relax,Friends,English,Library,Yes,E-books,On everyday basis,0
519,Male,22,Textile,1,Entertainment Purpose,E-books,16-20,6-10,Others,Feel Relax,Friends,Bangla,Library,No,E-books,A few times a month,0
520,Female,21,CIS,1,Academic Purpose,Buy,1-5,1-5,Others,Increase Problem Solving Skill,Teachers,English,Library,Yes,Both,A few times a week,1
521,Male,22,Pharmacy,2,Academic Purpose,Others,1-5,1-5,Fiction,Increase Academic Performance,Self-Decision,Bangla,Home,No,Both,A few times a week,1
522,Female,20,Pharmacy,1,Academic Purpose,Others,1-5,1-5,Others,Feel Relax,Self-Decision,Bangla,Home,No,Both,A few times a week,0
523,Male,20,MCT,1,Entertainment Purpose,Borrow,11-15,6-10,Fiction,Feel Relax,Self-Decision,Bangla,Library,Yes,Printed,A few times a week,0
524,Female,21,SWE,1,Keep me informative,E-books,1-5,6-10,Others,Feel Relax,Self-Decision,English,Library,Yes,Both,A few times a week,0
525,Male,21,BBA,2,Academic Purpose,Buy,1-5,11-15,Fiction,Increase Creative Thinking,Teachers,English,Home,Yes,Both,A few times a week,1
526,Male,21,MCT,2,Academic Purpose,E-books,6-10,11-15,Others,Increase Problem Solving Skill,Self-Decision,Bangla,Home,No,Printed,On everyday basis,1
527,Male,20,MCT,4,To increase my English vocabulary knowledge,Used-all,6-10,6-10,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,E-books,On everyday basis,1
528,Female,20,MCT,2,Keep me informative,Used-all,1-5,1-5,Others,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,Both,A few times a month,0
529,Male,19,MCT,1,Academic Purpose,Buy,1-5,1-5,Others,Increase Problem Solving Skill,Self-Decision,Others,Home,No,E-books,On everyday basis,1
530,Male,20,MCT,1,Keep me informative,Borrow,6-10,,Fiction,Increase Creative Thinking,Friends,English,Home,No,Printed,On everyday basis,0
531,Male,20,Textile,1,Academic Purpose,Buy,1-5,16-20,Fiction,Increase Academic Performance,Self-Decision,Bangla,Home,No,Both,On everyday basis,1
532,Male,20,Textile,2,Keep me informative,Buy,6-10,6-10,Non-Fiction,Increase Creative Thinking,Friends,Bangla,Home,No,Both,A few times a week,0
533,Male,20,Textile,1,Academic Purpose,Used-all,More than 20,More than 20,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Both,A few times a week,1
534,Male,20,Textile,1,Academic Purpose,Buy,,6-10,Biography,Increase Problem Solving Skill,Teachers,Bangla,Home,Yes,Printed,On everyday basis,1
535,Male,19,Textile,1,Academic Purpose,Buy,1-5,6-10,Fiction,Increase Problem Solving Skill,Friends,Bangla,Library,No,Both,A few times a month,0
536,Male,20,Textile,1,To increase my English vocabulary knowledge,Borrow,1-5,1-5,Non-Fiction,Feel Relax,Friends,English,Home,Yes,E-books,A few times a week,1
537,Male,21,Textile,3,Academic Purpose,Used-all,6-10,1-5,Fiction,Increase Creative Thinking,Teachers,Bangla,Home,Yes,Both,A few times a week,1
538,Male,21,Textile,1,Academic Purpose,Others,,,Others,Feel Relax,Parents,Bangla,Home,No,Printed,A few times a week,1
539,Male,22,BBA,1,Academic Purpose,Buy,,,Others,Increase Academic Performance,Parents,Bangla,Home,No,Both,On everyday basis,1
540,Male,22,BBA,2,Academic Purpose,Buy,11-15,1-5,Others,Increase Academic Performance,Self-Decision,English,Library,Yes,Both,A few times a week,1
541,Male,22,BBA,2,Academic Purpose,Buy,,More than 20,Others,Increase Creative Thinking,Self-Decision,English,Home,Yes,Printed,On everyday basis,1
